crno,afilCmpyNm,afilCmpyCrno
1101110000086,롯데건설(주),1101110014764
1101110000086,(주)롯데푸드,1101110033722
1101110000086,롯데지주(주),1101110076300
1101110000086,호텔롯데(주),1101110145410
1101110000086,롯데상사(주),1101110159099
1101110000086,롯데케미칼(주),1101110193196
1101110000086,롯데하이마트(주),1101110532633
1101110000086,롯데캐피탈(주),1101111217416
1101110000086,롯데렌탈(주),1101113326588
1101110000086,서울복합물류프로젝트금융투자(주),1101114660232
1101110000086,롯데정보통신(주),1101116557114
1101110000086,롯데컬처웍스(주),1101116768969
1101110000086,롯데위탁관리부동산투자회사(주),1101117061081
1101110000086,롯데오토리스(주),1341110213433
1101110000086,(주)백학음료,1349110029305
1101110000086,(주)충북소주,1501110082218
1101110000086,산청음료(주),1948110004183
1101110000086,롯데베르살리스엘라스토머스(주),2062110050365
1101110000086,데크항공(주),2101110061897
1101110002694,(주)지에스글로벌,1101110031479
1101110002694,삼양통상(주),1101110033433
1101110002694,지에스칼텍스(주),1101110078819
1101110002694,파르나스호텔(주),1101110411142
1101110002694,지에스엠비즈(주),1101111007023
1101110002694,지에스바이오(주),1101114303030
1101110002694,인천종합에너지(주),1201110348096
1101110002694,(주)피엘에스,1313110093131
1101110002694,GS파워(주),1341110074744
1101110002694,(주)지에스이앤알,1350110121570
1101110002694,(주)지에스동해전력,1447110019225
1101110002694,지에스이피에스(주),1650110004621
1101110002694,(주)지에스풍력발전,1745110004266
1101110002694,(주)지에스엔텍,1812110008699
1101110002694,(주)지에스포천그린에너지,2844110079755
1101110002818,해성산업(주),1101110028145
1101110002818,계양전기(주),1101110212889
1101110002818,(주)한국팩키지,1350110040291
1101110002818,해성디에스(주),1942110223694
1101110002834,대한해운(주),1101110008212
1101110002834,경남기업(주),1101110008262
1101110002834,삼환기업(주),1101110020307
1101110002834,대한상선(주),1101110356140
1101110002834,에스엠신용정보(주),1101111801277
1101110002834,(주)티케이케미칼,1101113783457
1101110002834,에스엠스틸(주),1243110028914
1101110002834,에스엠하이플러스(주),1311110191187
1101110002834,에스엠중공업(주),1351110040869
1101110002834,한덕철광산업(주),1449110003109
1101110002834,(주)남선알미늄,1701110005042
1101110002834,에스엠인더스트리(주),1846110007779
1101110002959,한화투자증권(주),1101110003155
1101110002959,(주)한화갤러리아,1101110202989
1101110002959,한화호텔앤드리조트(주),1101110249709
1101110002959,한화솔루션(주),1101110360935
1101110002959,(주)한화건설,1101112558405
1101110002959,한화에너지(주),1101113807223
1101110002959,(주)제주해양과학관,1101114143577
1101110002959,(주)한화도시개발,1101114231596
1101110002959,한화테크윈(주),1311110514404
1101110002959,(주)한화갤러리아타임월드,1601110003410
