Unnamed: 0,crno,corpNm,corpEnsnNm,enpPbanCmpyNm,enpRprFnm,bzno,enpBsadr,enpDtadr,enpHmpgUrl,enpTlno,enpEstbDt,enpEmpeCnt,lastOpegDt,상장여부
0,1101110995378,현대캐피탈주식회사,"HYUNDAI CAPITAL SERVICES, Inc.",현대캐피탈,"[""정형진""]",1168136248,"서울특별시 중구 세종대로 14 (남대문로5가, 그랜드센트럴(GRANDCENTRAL))",,www.hyundaicapital.co.kr,1544-2114,19931222,2120,20260915,0
1,1101111042574,(주)현대에버다임,HYUNDAI EVERDIGM Corp.,현대에버다임,"[""유재기""]",1078145758,충청북도 진천군  진천읍 부영길 49,,www.hyundaieverdigm.com,(043)530-3300,19940601,635,20260915,0
2,1101111081093,(주)대림,"Daelim Co., Ltd.",대림,"[""정인""]",1108130979,"서울특별시 강서구 공항대로 165 에이동 8층(마곡동, 원그로브)",,https://www.daelim.co.kr,02)3708-3517,19941001,513,20260915,0
3,1101111109134,(주)씨제이이엔엠,"CJ ENM CO., Ltd.",CJ ENM,"[""윤상현""]",1068151510,서울특별시 서초구  과천대로 870-13,,www.cjmall.com,02-2107-0114,19941216,3105,20260915,0
4,1101111129497,(주)카카오,Kakao Corp.,카카오,"[""정신아""]",1208147521,제주특별자치도 제주시 첨단로 242,,www.kakaocorp.com,02-6718-1082,19950216,3922,20260915,1
5,1101111144297,(주)엘지헬로비전,LG HelloVision Corp.,LG헬로비전,"[""송구영""]",1178113423,"경기도 고양시 덕양구 동송로 30 17층(동산동, MBN미디어센터)",,www.lghellovision.net,02-1855-1000,19950331,933,20260915,1
6,1101111217416,롯데캐피탈주식회사,"LOTTE CAPITAL CO., LTD.",롯데캐피탈,"[""추광식""]",1208155981,"서울특별시 강남구 테헤란로 142 (역삼동, 캐피탈타워) 7층",,www.lottecap.com,02)3451-0027,19951128,441,20260915,0
7,1101111258220,(주)한국토지신탁,"Korea Real Estate Investment & Trust Co., Ltd",한국토지신탁,"[""최윤성"", ""김성진""]",1208163986,서울특별시 강남구 테헤란로 137 코레이트타워,,www.koreit.co.kr,0234511181,19960404,258,20260915,1
8,1101111296676,(주)LG유플러스,LG Uplus Corp,LG유플러스,"[""홍범식""]",2208139938,서울특별시 용산구 한강대로 32 (한강로3가) LG유플러스 용산사옥,,www.uplus.co.kr,02-3773-1114,19960711,9765,20260915,1
9,1101111315286,(주)에이피에스,APS Inc.,APS,"[""정기로""]",2298122962,경기도 화성시 동탄면 동탄산단9길 23-12 (동탄면),,www.apsholdings.co.kr,031-776-1800,19960829,48,20260915,0
10,1101111412256,효성아이티엑스(주),"HYOSUNG ITX.CO.,LTD",효성 ITX,"[""남경환"", ""홍혜진""]",1208173505,서울특별시 영등포구  선유동2로 57 이레빌딩 15층,,www.hyosungitx.com,02-2102-8400,19970509,8092,20260915,1
11,1101111447021,드림라인(주),Dreamline Corporation,드림라인,"[""한윤재""]",2208144955,"서울특별시 구로구 디지털로31길 61 (구로동, 드림마크원데이터센타) 8층",,www.dreamline.co.kr,1877-1817,19970731,130,20260915,0
12,1101111468754,(주)케이티,KT CORPORATION,케이티,"[""박윤영""]",1028142945,경기도 성남시 분당구 불정로 90 KT 본사,,www.kt.com,02-100,19811210,14701,20260915,1
13,1101111516933,엘아이지디펜스앤에어로스페이스(주),"LIG Defense&Aerospace Co., Ltd.",LIG디펜스앤에어로스페이스,"[""신익현""]",2158635051,경기도 용인시 기흥구 마북로 207 엘아이지넥스원(주),,www.lignex1.com,1644 - 2005,19980225,5382,20260915,1
14,1101111598379,(주)에코프로,"ECOPRO CO.,LTD",에코프로,"[""송호준""]",2148626675,충청북도 청주시 청원구 오창읍 과학산업2로 587-40 주식회사 에코프로,,www.ecopro.co.kr,043-240-7700,19981022,185,20260915,0
15,1101111602667,(주)케이지이니시스,"KGINICIS CO.,LTD.",KG이니시스,"[""이선재""]",2208155597,"서울특별시 중구 통일로 92 케이지타워 14,15층",,www.inicis.com,02-1588-4954,19981103,216,20260915,0
16,1101111603764,(주)쏠리드,"Solid, Inc.",쏠리드,"[""정준"", ""이승희""]",2158172901,경기도 성남시 분당구 판교역로 220 쏠리드스페이스,,www.solid.co.kr,031-627-6000,19981105,333,20260915,0
17,1101111673220,씨제이씨지브이(주),"CJ CGV CO.,LTD.",CJ CGV,"[""정종민""]",1048145690,서울특별시 용산구 한강대로23길 55 아이파크몰 6층(한강로동),,www.cgv.co.kr,02-371-6660,19990330,4096,20260915,1
18,1101111710527,미래에셋벤처투자 주식회사,"Mirae Asset Venture Investment Co.,Ltd.",미래에셋벤처투자,"[""김응석""]",2118653095,경기도 성남시 분당구 판교역로241번길 20,,venture.miraeasset.co.kr,070-4800-2104,19990608,34,20260915,0
19,1101111764730,에스엘엘중앙 주식회사,"SLL JOONGANG Co., Ltd",에스엘엘중앙,"[""박준서""]",1208193457,"서울특별시 마포구 상암산로 38 (상암동, JTBC빌딩)",,,02-751-6539,19990901,170,20260915,0
20,1101111775365,에이치디씨랩스(주),"HDC LABS Co., Ltd.",HDC랩스,"[""이준형""]",1208193646,서울특별시 서초구 효령로 346 서초 HDC랩스 타워,,www.hdc-labs.com/,02-1899-1909,19990917,6465,20260915,1
21,1101111799183,케이지에코솔루션(주),"KG Eco Solution Co., Ltd.",KG에코솔루션,"[""박생근""]",2148640997,경상남도 밀양시 초동면 초동농공단지길 59 -,,kgecosolution.co.kr/K/main/,055-391-6770,19991029,28,20260915,0
22,1101111807910,전진건설로봇(주),"JUNJIN CONSTRUCTION & ROBOT CO., LTD.",전진건설로봇,"[""고현국"", ""이형환""]",1148192507,충청북도 음성군  금왕읍 대금로 1264,,junjin.com,043-879-2600,19991112,208,20260915,1
23,1101111827570,한국항공우주산업(주),"KOREA AEROSPACE INDUSTRIES, LTD.",한국항공우주,"[""김종출""]",1108142397,경상남도 사천시  사남면 공단1로 78 한국항공우주산업,,www.koreaaero.com,055-851-1000,19991001,5241,20260915,1
24,1101111829576,포스코에너지(주),"POSCO ENERGY Co., Ltd.",포스코에너지,"[""정기섭""]",1048148528,서울특별시 강남구 테헤란로 440,,www.poscoenergy.com,02-3457-2222,19991216,531,20260915,0
25,1101111848980,NICE인프라(주),"NICE Infra Co., Ltd",NICE인프라,"[""이현석""]",2148645634,"서울특별시 마포구 새창로 7 6층, 7층, 8층(도화동)",,www.nicetcm.co.kr,02-2122-5400,20000111,456,20260915,0
26,1101111867948,키움증권(주),"KIWOOM Securities Co.,Ltd.",키움증권,"[""엄주성""]",1078176756,서울특별시 영등포구 의사당대로 96 TP타워(사학연금 서울회관),,www.kiwoom.com,02-3787-5000,20000401,1190,20260915,1
27,1101111874654,AJ네트웍스 주식회사,"AJ Networks Co.,Ltd.",AJ네트웍스,"[""문지회"", ""곽정호""]",2148648586,"서울특별시 송파구 정의로8길 9 (문정동,AJ빌딩)",,www.ajnet.co.kr,02-6363-9999,20000210,603,20260915,1
28,1101111911050,(주)케이지파이낸셜,"KG Financial Co., Ltd.",KG파이낸셜,"[""유승용""]",2208182546,서울특별시 중구 통일로 92 케이지타워 16층,,www.mobilians.co.kr,(02)2192-2000,20000317,147,20260915,0
29,1101111948277,코오롱생명과학(주),KOLON LIFE SCIENCE Inc.,코오롱생명과학,"[""이한국""]",1048152769,서울특별시 강서구 마곡동로 110 코오롱 One&Only 타워,,-,02-3677-4151,20000421,454,20260915,0
30,1101112095837,한화오션(주),"Hanwha Ocean Co., Ltd.",한화오션,"[""김희철""]",1048157667,경상남도 거제시 거제대로 3370 (아주동),,www.hanwhaocean.com/pub/main/index.do,055-735-2114,20001023,11178,20260915,1
31,1101112101816,(주)동원F&B,"DONGWON F & B CO.,LTD",동원F&B,"[""김성용""]",2148668729,서울특별시 서초구  마방로 68 (양재동) 동원산업빌딩,,www.dongwonfnb.com,02-589-3000-1,20001101,3260,20260915,0
32,1101112137358,(주)포스코인터내셔널,POSCO INTERNATIONAL,포스코인터내셔널,"[""이계인""]",1048158195,서울특별시 강남구 테헤란로 440 포스코센터,,www.poscointl.com,02-3457-2288,20001227,1738,20260915,1
33,1101112137895,(주)대우건설,"DAEWOO ENGINEERING & CONSTRUCTION CO.,LTD",대우건설,"[""김보현""]",1048158180,서울특별시 중구 을지로 170 (을지로4가),,daewooenc.com,02-2288-3114,20001227,5146,20260915,1
34,1101112149890,(주)에스에너지,"S-EnergyCO.,LTD.",에스에너지,"[""홍성민"", ""홍문교""]",2068154253,서울특별시 송파구 법원로6길 11 4층,,www.s-energy.co.kr,070-4339-7100,20010112,113,20260915,0
35,1101112177388,현대글로비스(주),"HYUNDAI GLOVIS Co., LTD.",현대글로비스,"[""이규복""]",1068197118,서울특별시 성동구 왕십리로 83-21 -,,www.glovis.net,02-6191-9114,20010222,2319,20260915,1
36,1101112196304,한국자산신탁(주),"KOREA ASSET IN TRUST Co., Ltd",한국자산신탁,"[""신찬혁""]",1078197673,"서울특별시 강남구 테헤란로 306 (역삼동, 카이트타워)",,www.kait.com,02-2112-6300,20010320,149,20260915,1
37,1101112207127,한국수력원자력주식회사,"Korea Hydro & Nuclear Power Co., Ltd.",한국수력원자력,"[""김회천""]",1208618943,경상북도 경주시 문무대왕면 불국로 1655 한국수력원자력주식회사,,www.khnp.co.kr,054-704-2114,20010402,12782,20260915,0
38,1101112207135,한국남부발전주식회사,"Korea Southern Power Co., Ltd.",한국남부발전,"[""김준동""]",1208619165,"부산광역시 남구 문현금융로 40 (문현동, 부산국제금융센터) 40 BIFC",,www.kospo.co.kr,070-7713-8211,20010402,3148,20260915,0
39,1101112207177,한국서부발전주식회사,"Korea Western Power Co., Ltd",한국서부발전,"[""이정복""]",1208619205,충청남도 태안군 태안읍 중앙로 285 (평천리) 한국서부발전(주) 본사,,www.westernpower.co.kr,041-400-1237,20010402,2763,20260915,0
40,1101112217572,(주)동원엔터프라이즈,"Dongwon Enterprise Co.,Ltd",동원엔터프라이즈,"[""박문서""]",2148679828,서울특별시 서초구 마방로 68,,,02-589-3929,20010416,151,20260915,0
41,1101112248882,(주)현대홈쇼핑,HYUNDAI HOME SHOPPING NETWORK CORPORATION,현대홈쇼핑,"[""정교선"", ""한광영""]",2118676540,서울특별시 강동구  올림픽로70길 34,,www.hmall.com,02-2143-2000,20010529,1036,20260915,0
42,1101112262527,(주)엔에스쇼핑,"NS Shopping Co., Ltd",엔에스쇼핑,"[""조항목""]",1178133642,경기도 성남시 분당구 판교로228번길 15   판교세븐벤처밸리1단지 NS홈쇼핑동,,pr.nsmall.com,02-6336-1234,20010615,425,20260915,0
