Unnamed: 0,crno,corpNm,corpEnsnNm,enpPbanCmpyNm,enpRprFnm,bzno,enpBsadr,enpDtadr,enpHmpgUrl,enpTlno,enpEstbDt,enpEmpeCnt,lastOpegDt,상장여부
37,1101110000086,롯데쇼핑(주),"LOTTE SHOPPING CO.,LTD.",롯데쇼핑,"[""신동빈"", ""정현석"", ""차우철"", ""임재철""]",1048126067.0,서울특별시 중구  남대문로 81 (소공동),,www.lotteshoppingir.com/,02-1577-0001,19700702.0,17712,20260914,1
61,1101110002694,지에스건설(주),GS Engineering & Construction Corp,GS건설,"[""허윤홍"", ""김태진""]",1048118121.0,서울특별시 종로구 종로 33 그랑서울,,www.gsenc.com,02-2154-1112,19691219.0,4996,20260914,1
62,1101110002818,한국제지(주),"HANKUK PAPER MFG CO.,LTD",한국제지,"[""안재호""]",2148103513.0,서울특별시 강남구  테헤란로 504 해성빌딩 19층,,www.hankukpaper.com,02-3475-7200,19580225.0,511,20260914,0
63,1101110002834,(주)삼라,"SAMRA CO., LTD.",삼라,"[""조유선""]",2148106859.0,경기도 이천시 호법면 중부대로 859 (안평리),,www.smsamra.co.kr,02-6940-9500,19691022.0,0,20260914,0
67,1101110002959,(주)한화,HANWHA CORP,한화,"[""김동관"", ""류두형"", ""김우석""]",2028116825.0,서울특별시 중구  청계천로 86 24층,,www.hanwhacorp.co.kr,02-729-1114,19521028.0,3264,20260914,1
70,1101110003098,동원산업(주),"DONGWON INDUSTRIES CO.,LTD",동원산업,"[""김세훈"", ""박상진"", ""장인성""]",2298111150.0,서울특별시 서초구 마방로 68 (양재동),,www.dongwon.com,02-589-3333,19690416.0,712,20260914,1
72,1101110003155,한화투자증권(주),"HANWHA INVESTMENT&SECURITIES CO.,LTD",한화투자증권,"[""장병호""]",1168119031.0,서울특별시 영등포구  여의대로 56 한화증권빌딩 한화투자증권 주식회사,,www.koreastock.co.kr,02-3772-7000,19620719.0,1027,20260914,1
74,1101110003204,한화생명보험(주),"HANWHA LIFE INSURANCE CO., LTD.",한화생명,"[""권혁웅"", ""이경근""]",1168111757.0,서울특별시 영등포구 63로 50,,www.hanwhalife.com,02-789-5114,19460909.0,2794,20260914,1
75,1101110003212,태양금속공업(주),"TAEYANG METAL INDUSTRIAL CO.,LTD",태양금속공업,"[""한우삼. 한하워드성""]",1348100016.0,경기도 안산시 단원구  해봉로 212 (성곡동),,www.taeyangmetal.com,031-490-5500,19540301.0,507,20260914,1
76,1101110003262,(주)유수홀딩스,"EUSU HOLDINGS CO., LTD.",유수홀딩스,"[""송영규""]",1168135822.0,"서울특별시 영등포구 여의나루로 60 9층 (여의도동, 포스트타워)",,www.eusu-holdings.com,02-6716-3000,19500101.0,23,20260914,1
78,1101110003345,신성통상(주),"SHINSUNG TONGSANG CO.,LTD",신성통상,"[""염태순""]",1048101106.0,서울특별시 강동구 풍성로63길 84(둔촌동),,www.ssts.co.kr,02-3709-9000,19680111.0,1162,20260914,0
79,1101110003353,일광이앤씨(주),"IL KWANG E&C CO.,LTD.",일광이앤씨,"[""김국환"", ""김근수""]",1208102072.0,"경기도 성남시 분당구 돌마로 48 (구미동, 구미동후성빌딩) 5층",,ilkwangind.co.kr,031-627-4600,19700829.0,0,20260914,0
81,1101110003428,(주)중앙에너비스,"Joong Ang Enervis Co.,Ltd.",중앙에너비스,"[""한상열"", ""한상은""]",1068108726.0,서울특별시 용산구  한남대로 82,,www.enervis.co.kr,070-8707-4500,19461008.0,62,20260914,0
84,1101110003543,(주)LG,LG Corp.,LG,"[""구광모"", ""권봉석""]",1168118750.0,서울특별시 영등포구  여의대로 128,,www.lg.co.kr,02-3773-1114,19470105.0,195,20260914,1
87,1101110003668,(주)한진,HANJIN Logistics Corporation,한진,"[""노삼석""]",2018102823.0,서울특별시 중구 남대문로 63 한진빌딩,,www.hanjin.com,02-728-5114,19580310.0,1673,20260914,1
88,1101110003684,롯데칠성음료(주),"LOTTE CHILSUNG BEVERAGE CO.,LTD",롯데칠성음료,"[""박윤기""]",2148107770.0,서울특별시 서초구 서초대로70길 15,,company.lottechilsung.co.kr,02-3479-9114,19671129.0,5217,20260914,1
89,1101110003692,한국공항(주),"KOREA AIRPORT SERVICE CO.,LTD",한국공항,"[""이수근""]",1098133068.0,서울특별시 강서구  양천로 13 (방화동) 한국공항(주),,www.kas.co.kr,02-2660-3114,19680220.0,3409,20260914,1
91,1101110003733,대한제분(주),"DAEHAN FLOUR MILL CO.,LTD",대한제분,"[""이진성""]",1048104345.0,서울특별시 중구 세종대로 39,,www.dhflour.co.kr,02-3455-0200,19521225.0,404,20260914,1
96,1101110003824,(주)영풍,YOUNGPOONG CORPORATION,영풍,"[""김기호""]",2118111275.0,서울특별시 강남구  강남대로 542,,www.ypzinc.co.kr,02-519-3314,19491125.0,781,20260914,1
97,1101110003965,(주)LS,LS Corp.,LS,"[""명노현""]",1168119007.0,서울특별시 용산구 한강대로 92 LS용산타워 -,,www.lsholdings.co.kr,02-2189-9988,19620515.0,94,20260914,1
99,1101110003999,(주)조선호텔앤리조트,JOSUN HOTELS AND RESORTS,조선호텔앤리조트,"[""최훈학""]",1048127386.0,"서울특별시 중구 소공로 106 (소공동, 웨스턴 조선 호텔)",,www.echosunhotel.com,02)317-0024,19670808.0,0,20260914,0
105,1101110004286,팬오션(주),"Pan Ocean Co., Ltd.",팬오션,"[""김홍국"", ""안중호""]",1048119101.0,서울특별시 종로구 종로5길 7 Tower 8 팬오션(주),,www.panocean.com,02-316-5114,19660528.0,1326,20260914,1
114,1101110004632,(주)LX인터내셔널,LX INTERNATIONAL CORP.,LX인터내셔널,"[""구혁서""]",1168118686.0,서울특별시 종로구 새문안로 58 LG광화문빌딩,,www.lxinternational.com,02-6924-3114,19531126.0,412,20260914,1
116,1101110004682,한솔테크닉스(주),"Hansol Technics Co., Ltd",한솔테크닉스,"[""유경준""]",1208153945.0,서울특별시 중구 을지로 100,,www.hansoltechnics.com,02-3287-7903,19660820.0,506,20260914,1
117,1101110004690,(주)오리온홀딩스,ORION Holdings Corp.,오리온홀딩스,"[""허인철""]",1068104036.0,서울특별시 강남구 남부순환로 2745 -,,www.oriongroup.co.kr,02-710-6000,19560725.0,8,20260914,1
124,1101110005002,동부건설(주),Dongbu Corporation,동부건설,"[""윤진오""]",2018145685.0,서울특별시 강남구 테헤란로 137 코레이트 타워,,dbcon.dongbu.co.kr,02-3484-2114,19690124.0,1168,20260914,1
125,1101110005052,(주)모나미,"MONAMI CO.,LTD",모나미,"[""송하윤""]",1208108227.0,"경기도 용인시 수지구  손곡로 17 (동천동, 모나미빌딩)",,www.monami.com,031-216-0153,19671228.0,221,20260914,1
126,1101110005078,삼성화재해상보험(주),"SAMSUNG FIRE & MARINE INSURANCE CO.,LTD",삼성화재해상보험,"[""이문화""]",2028145617.0,서울특별시 서초구 서초대로74길 14 (서초동),,www.samsungfire.com,02-1588-5114,19520126.0,5535,20260914,1
133,1101110005333,(주)동양,TONGYANG Inc,동양,"[""정진학"", ""유정민""]",1168134352.0,서울특별시 영등포구 국제금융로2길 24 -,,www.tongyanginc.co.kr,02-6150-7000,19550825.0,483,20260914,1
140,1101110005664,(주)전방,"CHONBANG CO.,LTD",전방,"[""조덕현""]",1028117373.0,"서울특별시 서대문구  서소문로 21 (충정로3가, 충정타워)",,www.chonbang.co.kr,02-2122-6000,19530223.0,86,20260914,1
146,1101110005929,삼천리(주),"SAMCHULLY CO.,LTD",삼천리,"[""유재권"", ""전영택""]",1168100755.0,"서울특별시 영등포구  국제금융로6길 42 (여의도동, 삼천리빌딩)",,www.samchully.co.kr,02-368-3300,19660707.0,881,20260914,1
147,1101110005953,삼성생명보험(주),"Samsung Life Insurance co., Ltd",삼성생명,"[""홍원학""]",1048126688.0,서울특별시 서초구 서초대로74길 11 (서초동) 삼성생명보험 주식회사,,www.samsunglife.com,02-751-8157,19570404.0,5124,20260914,1
148,1101110005995,(주)BYC,"BYC CO.,LTD",BYC,"[""김대환""]",1188103063.0,서울특별시 영등포구 디지털로38길 27 (주)비와이씨,,home.byc.co.kr,02-840-3172,19550513.0,544,20260914,1
151,1101110006167,씨제이대한통운(주),CJ Logistics Corporation,CJ대한통운,"[""신영수"", ""민영학""]",1108105034.0,서울특별시 종로구 종로5길 7(청진동) Tower 8,,www.cjlogistics.com,02-3782-0114,19301115.0,6847,20260914,1
