crno,sbrdEnpNm,sbrdEnpMainBizCtt,domestic,name_norm,addr,region,sicNm,대분류
1101110017867,한솔페이퍼텍(주),펄프 종이 및 판지제조업,국내,한솔페이퍼텍,전남 담양군 대전면 대치7길 80,전남,"펄프, 종이 및 판지 제조업",제조
1101110017867,한솔피엔에스(주),지류유통 및 IT서비스,국내,한솔피엔에스,서울특별시 중구 퇴계로 213 일흥빌딩 5층,서울,생활용 포장 및 위생용품_ 봉투 및 유사 제품 도매업,IT·미디어;서비스;유통·물류
1101110017867,한솔코에버(주),산업자동화,국내,한솔코에버,서울특별시 금천구 가산디지털1로 168 C동 9층 901호,서울,산업자동화,모름
1101110017867,한솔로지스틱스(주),종합물류 서비스,국내,한솔로지스틱스,서울특별시 중구 을지로 100 파인애비뉴 B동 22층,서울,일반 창고업,서비스;유통·물류
1101110017867,한솔티씨에스(주),종합물류 서비스,국내,한솔티씨에스,부산광역시 중구 대교로 119 9층 (중앙동6가 씨제이 대한통운),부산,종합물류 서비스,서비스;유통·물류
1101110017867,한솔로지스유(주),종합물류 서비스,국내,한솔로지스유,서울특별시 강서구 마곡중앙4로 22 비농 7층 9층 (마곡동 파인스퀘어),서울,종합물류 서비스,서비스;유통·물류
1101110017990,동아제약(주),의약품 제조 및 판매,국내,동아제약,서울 동대문구 천호대로 64,서울,완제 의약품 제조업,제조;바이오·헬스케어
1101110017990,에스티젠바이오(주),의약품 제조 및 판매,국내,에스티젠바이오,인천광역시 연수구 지식기반로 45,인천,의약품 제조 및 판매,제조;바이오·헬스케어
1101110017990,동아에코팩(주),병유리 생수 음료 제조 및 판매,국내,동아에코팩,충청남도 당진시 합덕읍 인더스파크로 131 (대전리) 동아에코팩 주식회사,충남,포장용 유리용기 제조업,제조;식품·농업
1101110017990,용마로지스(주),운수창고업,국내,용마로지스,"경기도 김포시 고촌읍 아라육로 78 (전호리, 용마로지스(주)김포센터)",경기,일반 화물자동차 운송업,유통·물류
1101110017990,DA인포메이션(주),IT 솔루션,국내,DA인포메이션,서울 동대문구 천호대로 3,서울,IT 솔루션,모름
1101110017990,(주)아벤종합건설,건설업,국내,아벤종합건설,경기도 안양시 만안구 안양로 552,경기,건설업,부동산·건설
1101110017990,(주)얼수,농산물 유통판매업,국내,얼수,경상북도 상주시 화북면 문장로 1623-32,경북,농산물 유통판매업,유통·물류
1101110017990,용인기흥PFV(주),부동산개발,국내,용인기흥PFV,서울특별시 동대문구 무학로25길 16 5층,서울,부동산개발,부동산·건설
1101110017990,피노라인,주류 도소매업,국내,피노라인,서울특별시 동대문구 천호대로 64 비1층,서울,주류 도소매업,유통·물류;식품·농업
1101110019219,(주)동일씨앤이,기체여과기제조,국내,동일씨앤이,경기도 화성시 팔탄면 칙골길 19,경기,기체여과기제조,제조
1101110019219,(주)디아이비즈,가구도소매,국내,디아이비즈,서울시 강남구 테헤란로 516,서울,가구도소매,유통·물류
1101110019219,(주)플라즈마텍,환경오염방지 시설제조,국내,플라즈마텍,경기도 평택시 진위면 마산6로 71,경기,환경오염방지 시설제조,제조;에너지·환경
1101110019219,디아이시스템(주),열교환기제조,국내,디아이시스템,경상남도 김해시 한림면 김해대로 1458-26,경남,열교환기제조,제조
1101110019342,C&C신약연구소,신약 연구 및 개발,국내,C&C신약연구소,경기도 과천시 과천대로7길 38(갈현동),경기,신약 연구 및 개발,서비스
1101110019342,생명누리(주),기타 사무지원 서비스업,국내,생명누리,경기도 과천시 과천대로7길 38(갈현동),경기,기타 사무지원 서비스업,서비스
1101110019342,드림트리제이차㈜,금융,국내,드림트리제이차,서울특별시 영등포구 국제금융로8길 32(여의도동),서울,금융,금융
1101110019962,씨더블유한마음제일차㈜,자산유동화SPC,국내,씨더블유한마음제일차,"서울특별시 영등포구 여의대로 108, 13층",서울,자산유동화SPC,금융
1101110019962,더에이치본리제일차㈜,자산유동화SPC,국내,더에이치본리제일차,서울특별시 영등포구 여의나루로 60,서울,자산유동화SPC,금융
