line_no,subject,subject_type,relation,object,object_type,evidence,source_doc_id,manual_label,error_reason,fix_suggestion
11207,subsidiary:name:삼천리이브이|address:서울특별시영등포구국제금융로6길42,SubsidiaryCompany,LOCATED_IN,region:서울,Region,㈜삼천리이브이 서울,case:3:row:14319,,,
2059,parent_company:2201110050575,ParentCompany,AFFILIATED_WITH,parent_company:1101110293011,ParentCompany,(주)제주항공 1101110293011 애경화학,case:1:row:9030,,,
531,parent_company:1101110051493,ParentCompany,AFFILIATED_WITH,parent_company:1101114560268,ParentCompany,중앙일보(주) 서울 서울특별시 마포구 상암산로 48-6 신문 발행업 1101114560268 제이티비씨(주),case:1:row:624,,,
13018,subsidiary:name:동원시스템즈|address:충청남도아산시둔포면아산밸리동로100,SubsidiaryCompany,LOCATED_IN,region:충남,Region,동원시스템즈(주) 충남,case:3:row:15295,,,
4860,subsidiary:name:퍼펙트드림제구차|address:서울특별시영등포구의사당대로97여의도동교보증권빌딩,SubsidiaryCompany,LOCATED_IN,region:서울,Region,퍼펙트드림제구차㈜ 서울,case:2:row:10780,,,
4350,parent_company:1101110335649,ParentCompany,HAS_SUBSIDIARY,subsidiary:name:로즈라인제일차|address:서울특별시영등포구국제금융로6길331101호여의도동,SubsidiaryCompany,삼성증권(주) 서울 서울특별시 서초구 서초대로74길 11 (서초동) 로즈라인제일차 (주),case:2:row:10546,,,
3989,subsidiary:name:현대인베스트sri사모부동산투자신탁2호|address:서울영등포구국제금융로8길16신영증권10층,SubsidiaryCompany,LOCATED_IN,region:서울,Region,현대인베스트SRI사모부동산투자신탁2호 서울,case:2:row:10372,,,
2545,subsidiary:name:히트하우스제일차|address:서울특별시영등포구여의대로24전경련회관43층,SubsidiaryCompany,LOCATED_IN,region:서울,Region,히트하우스제일차㈜ 서울,case:2:row:9740,,,
12933,parent_company:1341110168357,ParentCompany,HAS_SUBSIDIARY,subsidiary:name:지앤피|address:충청북도충주시국원대로448,SubsidiaryCompany,엘에스전선(주) ㈜지앤피,case:3:row:15250,,,
1914,parent_company:1701110638661,ParentCompany,AFFILIATED_WITH,parent_company:1101116363850,ParentCompany,현대중공업지주(주) 1101116363850 현대일렉트릭앤에너지시스템(주),case:1:row:7544,,,
11898,subsidiary:name:퍼셀|address:서울특별시강남구압구정로60길175층,SubsidiaryCompany,LOCATED_IN,region:서울,Region,(주)퍼셀 서울,case:3:row:14633,,,
13003,subsidiary:name:샌드캐슬제일차2|address:서울영등포구국제금융로2길2412층,SubsidiaryCompany,LOCATED_IN,region:서울,Region,샌드캐슬제일차(주)(*2) 서울,case:3:row:15286,,,
15599,subsidiary:name:지에스제오차|address:서울특별시영등포구국제금융로1022층,SubsidiaryCompany,LOCATED_IN,region:서울,Region,지에스제오차 서울,case:3:row:16678,,,
9529,parent_company:1101110042955,ParentCompany,HAS_SUBSIDIARY,subsidiary:name:에스와이에이제이차|address:서울특별시영등포구국제금융로2길24여의도동,SubsidiaryCompany,대신증권(주) 서울 서울특별시 중구 삼일대로 343 저동1가 대신파이낸스센터 증권 중개업 에스와이에이제이차㈜,case:3:row:13408,,,
1659,parent_company:1201110001743,ParentCompany,AFFILIATED_WITH,parent_company:1101110007909,ParentCompany,현대제철(주) 1101110007909 현대건설(주),case:1:row:4370,,,
10304,parent_company:1101110863484,ParentCompany,HAS_SUBSIDIARY,subsidiary:name:키움크리스제일호사모투자합자회사|address:주2,SubsidiaryCompany,"(주)다우데이타 서울 서울특별시 마포구 독막로 311 3층, 5층(염리동, 재화스퀘어) 컴퓨터 및 주변장치, 소프트웨어 도매업 키움크리스제일호 사모투자합자회사",case:3:row:13820,,,
7420,subsidiary:name:스튜디오클론|address:서울특별시마포구매봉산로4519층,SubsidiaryCompany,LOCATED_IN,region:서울,Region,㈜스튜디오클론 서울,case:3:row:12093,,,
667,parent_company:1101110108484,ParentCompany,AFFILIATED_WITH,parent_company:1101115197193,ParentCompany,(주)대한항공 서울 서울특별시 강서구 하늘길 260 항공 여객 운송업 1101115197193 한진칼(주),case:1:row:806,,,
626,parent_company:1101110090516,ParentCompany,AFFILIATED_WITH,parent_company:1101110508311,ParentCompany,(주)삼립 경기 경기도 시흥시 공단1대로 101 1101110508311 (주)상미당홀딩스,case:1:row:756,,,
1770,parent_company:1341110002878,ParentCompany,AFFILIATED_WITH,parent_company:1341110142575,ParentCompany,(주)노루홀딩스 1341110142575 (주)노루페인트,case:1:row:5294,,,
3914,parent_company:1101110014409,ParentCompany,HAS_SUBSIDIARY,subsidiary:name:유한건강생활|address:서울특별시강서구마곡중앙로172바이오이노베이션파크6층,SubsidiaryCompany,(주)유한양행 서울 서울특별시 동작구  노량진로 74 (주)유한건강생활,case:2:row:10336,,,
4149,subsidiary:name:에프엔동성로|address:서울특별시영등포구여의나루로4길18여의도동,SubsidiaryCompany,LOCATED_IN,region:서울,Region,에프엔동성로(주) 서울,case:2:row:10445,,,
8845,parent_company:1347110001159,ParentCompany,HAS_SUBSIDIARY,subsidiary:name:타임기연아시아2|address:경기도평택시서탄면금암2길485,SubsidiaryCompany,(주)경동나비엔 (주)타임기연아시아(*2),case:3:row:12988,,,
10493,parent_company:1101112149890,ParentCompany,HAS_SUBSIDIARY,subsidiary:name:에스모빌리티|address:경기도수원시,SubsidiaryCompany,(주)에스에너지 에스모빌리티(주),case:3:row:14003,,,
562,parent_company:1101110168404,ParentCompany,LOCATED_IN,region:서울,Region,고려아연(주) 서울,case:1:row:657,,,
9789,parent_company:1101110101470,ParentCompany,HAS_SUBSIDIARY,subsidiary:name:한국전자판매1|address:서울시서초구마방로10길5,SubsidiaryCompany,(주)한국전자홀딩스 서울 서울특별시 서초구  마방로10길 5 한국전자판매㈜ (*1),case:3:row:13539,,,
3571,subsidiary:name:아이콘큐브|address:서울금천구가산디지털1로1451804가산동에이스하이엔드타워3차,SubsidiaryCompany,LOCATED_IN,region:서울,Region,아이콘큐브㈜ 서울,case:2:row:10189,,,
12593,parent_company:1101111867948,ParentCompany,HAS_SUBSIDIARY,subsidiary:name:kiwoomasiagrowthfundi|address:주1,SubsidiaryCompany,키움증권(주) KIWOOM Asia Growth Fund I,case:3:row:14993,,,
11419,subsidiary:name:롯데에너지머티리얼즈와그종속기업|address:전라북도익산시석암로3길6325,SubsidiaryCompany,LOCATED_IN,region:전북,Region,롯데에너지머티리얼즈㈜와 그 종속기업 전북,case:3:row:14404,,,
12326,subsidiary:name:씨브이파트너스|address:서울시금천구시흥대로479,SubsidiaryCompany,LOCATED_IN,region:서울,Region,(주)씨브이파트너스 서울,case:3:row:14842,,,
9522,subsidiary:name:마이트당진송악제이차|address:서울특별시영등포구여의나루로5017층여의도동,SubsidiaryCompany,LOCATED_IN,region:서울,Region,마이트당진송악제이차㈜ 서울,case:3:row:13404,,,
7381,parent_company:1101111129497,ParentCompany,HAS_SUBSIDIARY,subsidiary:name:케이엠세븐|address:서울특별시은평구증산로1길718,SubsidiaryCompany,(주)카카오 ㈜케이엠세븐,case:3:row:12074,,,
3943,parent_company:1101110035893,ParentCompany,HAS_SUBSIDIARY,subsidiary:name:마이금융파트너|address:서울시강남구학동로337에이치타워11층,SubsidiaryCompany,현대해상화재보험(주) 서울 서울 종로구 세종로 현대해상화재보험빌딩 ㈜마이금융파트너,case:2:row:10350,,,
7890,parent_company:1101112322438,ParentCompany,HAS_SUBSIDIARY,subsidiary:name:신한포스코그린수소신기술투자조합제1호|address:주1,SubsidiaryCompany,신한금융지주회사(주) 신한-포스코 그린수소 신기술투자조합 제1호,case:3:row:12409,,,
10284,parent_company:1101110863484,ParentCompany,HAS_SUBSIDIARY,subsidiary:name:와이즈버즈|address:경기도성남시수정구금토로695층금토동다우디지털스퀘어,SubsidiaryCompany,"(주)다우데이타 서울 서울특별시 마포구 독막로 311 3층, 5층(염리동, 재화스퀘어) 컴퓨터 및 주변장치, 소프트웨어 도매업 (주)와이즈버즈",case:3:row:13800,,,
4911,parent_company:1101110018089,ParentCompany,HAS_SUBSIDIARY,subsidiary:name:교보증권v롱숏일반사모투자신탁|address:서울특별시영등포구의사당대로97여의도동교보증권빌딩,SubsidiaryCompany,교보증권(주) 서울 서울특별시 영등포구 의사당대로 97 교보증권빌딩 교보증권 V-롱숏일반사모투자신탁,case:2:row:10806,,,
14188,parent_company:1345110004412,ParentCompany,HAS_SUBSIDIARY,subsidiary:name:한국토지신탁|address:서울시강남구테헤란로137코레이트타워1620층,SubsidiaryCompany,엠케이전자(주) ㈜한국토지신탁,case:3:row:15952,,,
15222,parent_company:1101112207127,ParentCompany,HAS_SUBSIDIARY,subsidiary:name:경기그린에너지|fallback:모름|연료전지발전,SubsidiaryCompany,한국수력원자력(주) 경기그린에너지(주),case:3:row:16489,,,
146,parent_company:1101110003999,ParentCompany,AFFILIATED_WITH,parent_company:1101114594952,ParentCompany,"(주)조선호텔앤리조트 서울 서울특별시 중구 소공로 106 (소공동, 웨스턴 조선 호텔) 1101114594952 (주)이마트",case:1:row:148,,,
13335,subsidiary:name:티피에스비피뷰티제1호신기술사업투자조합|address:서울시서초구서초대로3018층서초동동익성봉빌딩,SubsidiaryCompany,LOCATED_IN,region:서울,Region,티피-에스비피 뷰티 제1호 신기술사업투자조합 서울,case:3:row:15512,,,
14129,parent_company:1101116770154,ParentCompany,HAS_SUBSIDIARY,subsidiary:name:프로베스트킹덤제일차|address:서울특별시마포구,SubsidiaryCompany,효성중공업(주) 프로베스트킹덤제일차(유),case:3:row:15915,,,
2882,parent_company:1101110809595,ParentCompany,HAS_SUBSIDIARY,subsidiary:name:더블유에스엔터테인먼트|address:서울매포구매봉산로2안길85층,SubsidiaryCompany,(주)삼화네트웍스 서울 서울특별시 마포구 매봉산로2안길 8 - (주)더블유에스엔터테인먼트,case:2:row:9899,,,
12274,subsidiary:name:프로젝트하남|address:경기도하남시미사강변동로84번길29218에스48호망월동,SubsidiaryCompany,LOCATED_IN,region:경기,Region,프로젝트하남 주식회사 경기,case:3:row:14816,,,
7432,subsidiary:name:에이엑스지|address:경기도성남시분당구판교역로15212층,SubsidiaryCompany,LOCATED_IN,region:경기,Region,㈜에이엑스지 경기,case:3:row:12099,,,
5977,subsidiary:name:상상인순천제일차|address:서울시영등포구여의대로56,SubsidiaryCompany,LOCATED_IN,region:서울,Region,상상인순천제일차㈜ 서울,case:2:row:11311,,,
4906,subsidiary:name:레전드오브어텀제일차|address:서울특별시영등포구국제금융로8길32여의도동db증권빌딩,SubsidiaryCompany,LOCATED_IN,region:서울,Region,레전드오브어텀제일차㈜ 서울,case:2:row:10803,,,
2811,parent_company:1101110546006,ParentCompany,HAS_SUBSIDIARY,subsidiary:name:화인세라텍|address:경기도수원시권선구고색동921번지,SubsidiaryCompany,(주)에프에스티 경기 경기도 화성시 동탄면 동탄산단6길 15-23 에프에스티 그 외 기타 전자부품 제조업 (주)화인세라텍,case:2:row:9866,,,
3855,subsidiary:name:빅썸바이오|address:대전광역시유성구감천로36117501호탑립동윕스퀘어,SubsidiaryCompany,LOCATED_IN,region:대전,Region,(주)빅썸바이오 대전,case:2:row:10312,,,
16683,subsidiary:name:지베스코일반투자형사모부동산투자신탁1호비상장|address:서울특별시종로구종로3315층청진동그랑서울,SubsidiaryCompany,LOCATED_IN,region:서울,Region,지베스코일반투자형사모부동산투자신탁1호(비상장) 서울,case:3:row:17319,,,
13414,subsidiary:name:농업회사법인팜엔코|address:경기도용인시기흥구중부대로555208호,SubsidiaryCompany,LOCATED_IN,region:경기,Region,농업회사법인 (주)팜엔코 경기,case:3:row:15551,,,
