crno,corpNm,corpEnsnNm,enpPbanCmpyNm,enpRprFnm,corpRegMrktDcd,corpRegMrktDcdNm,corpDcd,corpDcdNm,bzno,enpOzpno,enpBsadr,enpDtadr,enpHmpgUrl,enpTlno,enpFxno,sicNm,enpEstbDt,enpStacMm,enpXchgLstgDt,enpXchgLstgAbolDt,enpKosdaqLstgDt,enpKosdaqLstgAbolDt,enpKrxLstgDt,enpKrxLstgAbolDt,smenpYn,enpMntrBnkNm,enpEmpeCnt,empeAvgCnwkTermCtt,enpPn1AvgSlryAmt,actnAudpnNm,audtRptOpnnCtt,enpMainBizNm,fssCorpUnqNo,fssCorpChgDtm,fstOpegDt,lastOpegDt
1101110515275,흥아해운(주),"HEUNG-A SHIPPING CO.,LTD.",흥아해운,이환구,P,유가,,,1208162522,04523,"서울특별시 중구 남대문로9길 39 서울시 중구 남대문로9길 39(을지로1가, 부림빌딩) 8층",,www.heung-a.com,02-3449-3000,3449-3185,,19611208,12,76/06/29,,,,,,,,307,　-,50055000,삼덕회계법인,적정의견,,00167208,2021/12/06,20210729,20220320
1101110515275,흥아해운(주),"HEUNG-A SHIPPING CO.,LTD.",흥아해운,이환구,P,유가,,,1208162522,04523,"서울특별시 중구 남대문로9길 39 서울시 중구 남대문로9길 39(을지로1가, 부림빌딩) 8층",,www.heung-a.com,02-3449-3000,3449-3185,,19611208,12,76/06/29,,,,,,,,307,　-,50055000,삼덕회계법인,의견거절,,00167208,2021/05/12,20210318,20210728
1101110515275,흥아해운(주),"HEUNG-A SHIPPING CO.,LTD.",흥아해운,이환구,P,유가,,,1208162522,04523,"서울특별시 중구 남대문로9길 39 서울시 중구 남대문로9길 39(을지로1가, 부림빌딩) 8층",,www.heung-a.com,02-3449-3000,3449-3185,,19611208,12,76/06/29,,,,,,,,339,,41292000,삼정회계법인,적정의견,,00167208,2021/01/06,20200810,20210317
1101110515275,흥아해운(주),"HEUNG-A SHIPPING CO.,LTD.",흥아해운,이환구,P,유가,,,1208162522,04523,"서울특별시 중구 남대문로9길 39 서울시 중구 남대문로9길 39(을지로1가, 부림빌딩) 8층",,www.heung-a.co.kr,02-3449-3000,3449-3185,,19611208,12,76/06/29,,,,,,,,339,,41292000,삼정회계법인,적정의견,,00167208,2020/03/30,20200509,20200809
1101110515283,대협섬유(주),DAEHYUP Tex Tile co.ltd,대협섬유,김종태,E,기타,,,1208111187,135090,서울특별시 강남구 삼성동 78-3,,,02)517-0051,02)517-9670,,19870101,12,,,,,,,,,0,,0,,,,00178091,2017/06/30,20200509,20260914
1101110515283,대협섬유(주),DAEHYUP Tex Tile co.ltd,대협섬유,김종태,E,기타,,,1208111187,135090,서울특별시 강남구 삼성동 78-3,서울특별시 강남구 삼성동 78-3,,02)517-0051,02)517-9670,,19870101,12,,,,,,,,,0,,0,,,,00178091,2017/06/30,20260101,20260101
1101110515283,대협섬유(주),,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,20251008,20251014
1101110515308,(주)아펙스,"APEX CO.,LTD.",아펙스,조원창,E,기타,,,2158104155,138050,서울특별시 송파구 방이동 63-1 3층 301호,,,02-408-4701,02-408-4700,,19850306,12,,,,,,,,,0,,0,,,,00959496,2023/02/13,20200509,20260914
1101110515308,(주)아펙스,"APEX CO.,LTD.",아펙스,조원창,E,기타,,,2158104155,138050,서울특별시 송파구 방이동 63-1 3층 301호,서울특별시 송파구 방이동 63-1 3층 301호,,02-408-4701,02-408-4700,,19850306,12,,,,,,,,,0,,0,,,,00959496,2023/02/13,20260101,20260101
1101110515324,(주)하이만,HIMAN,,이은만,,,,,1068133962,04308,서울특별시 용산구 청파로 307,303호,,82-02-718-8348,,,19910925,,,,,,,,,,4,,0,,,,,,20200517,20200517
