basDt,crno,sbrdEnpNm,sbrdEnpEstbDt,sbrdEnpadr,sbrdEnpMainBizCtt,dntRltBsisCtt,mainSbrdEnpYnCtt,sbrdEnpLtstEbzyrTastAmt
20260320,1101112149890,에스에너지 태양광 발전소(주),20140314,대전 유성구,태양광발전사업,의결권의 과반수 소유,부,3478493
20260320,1101112149890,(주)글리코태양광,20170818,서울 강동구,태양광발전사업,의결권의 과반수 소유,부,327095
20260320,1101112149890,골든루트제삼태양광발전소(주),20130422,충북 청주시,태양광발전사업,의결권의 과반수 소유,부,1530596
20260320,1101112149890,에스인베스트먼트(주),20161111,경기도 성남시,태양광발전사업,의결권의 과반수 소유,부,1387853
20260320,1101112149890,디에스에너지(주),20131001,대전 유성구,태양광발전사업,의결권의 과반수 소유,부,1938569
20260320,1101112149890,호포차량기지태양광발전(주),20120223,부산,태양광발전사업,의결권의 과반수 소유,부,1359521
20260320,1101112149890,그린솔라중부하이웨이(주),20150428,대전 유성구,태양광발전사업,의결권의 과반수 소유,부,8271656
20260320,1101112149890,그린솔라영동하이웨이(주),20150428,대전 유성구,태양광발전사업,의결권의 과반수 소유,부,7465481
20260320,1101112149890,에스플래닛이호 주식회사,20170101,충남 금산군,태양광발전사업,의결권의 과반수 소유,부,400262
20260320,1101112149890,에스플래닛삼호 주식회사,20170101,충남 금산군,태양광발전사업,의결권의 과반수 소유,부,564159
20260320,1101112149890,에스플래닛구호 주식회사,20180301,전북 부안군,태양광발전사업,의결권의 과반수 소유,부,998
20260320,1101112149890,에스플래닛십일호 주식회사,20181231,경북 영주시,태양광발전사업,의결권의 과반수 소유,부,998
20260320,1101112149890,에스플래닛십이호 주식회사,20181231,경북 영주시,태양광발전사업,의결권의 과반수 소유,부,998
20260320,1101112149890,에스플래닛십구호 주식회사,20170621,충북 영동군,태양광발전사업,의결권의 과반수 소유,부,5218
20260320,1101112149890,에스플래닛이십호 주식회사,20170621,충북 영동군,태양광발전사업,의결권의 과반수 소유,부,5218
20260320,1101112149890,에스플래닛삼십호 주식회사,20171121,대전 유성구,태양광발전사업,의결권의 과반수 소유,부,468570
20260320,1101112154667,-,,-,-,-,-,0
20260320,1101112214429,뉴트리(상해)상무유한공사,20160105,상해시 민항구 자수로 100호,건강기능식품판매,100% 소유,부,87
20260320,1101112214429,㈜레이크우드파트너스,20190201,서울시 영등포구 국제금융로2길 32,신기술사업금융업,  90% 소유,여,22162
20260320,1101112214429,레이크우드파트너스 블라인드1호 조합,20191119,서울시 영등포구 국제금융로2길 32,신기술투자조합,   49% 소유,여,13130
20260320,1101112214429,㈜비커밍,20181010,서울시 성동구 성수일로10길 26,광고대행업,    65% 소유,부,2311
20260320,1101112214429,Zephyrus Capital LLC,20210119,USA New York,투자,100% 소유,여,16567
20260320,1101112214429,레이크우드파트너스 블라인드2호 조합(*1),20241217,서울시 영등포구 국제금융로2길 32,신기술투자조합,    50% 소유,부,7025
20260320,1101112233560,CTK USA Holdings Corporation,20171218,미국,지주회사,기업회계기준서 제1110호&amp;cr; (의결권의 과반수 소유),해당&amp;cr; (지배회사자산총액 10% 이상),73894
20260320,1101112233560,CTK USA INC (주1),20170425,미국,물류업,기업회계기준서 제1110호&amp;cr; (의결권의 과반수 소유),해당&amp;cr;(지배회사자산총액 10% 이상),65276
20260320,1101112233560,CTKonnect Inc (주1),20230606,미국,위탁판매업,기업회계기준서 제1110호&amp;cr; (의결권의 과반수 소유),해당없음,0
20260320,1101112233560,CTK OTC LABORATORIESLLC (주1),20250319,미국,화장품 제조판매업,기업회계기준서 제1110호&amp;cr; (의결권의 과반수 소유),해당없음,10970
20260320,1101112233560,CTK USA Properties 2 LLC (주1),20250319,미국,부동산관리,기업회계기준서 제1110호&amp;cr; (의결권의 과반수 소유),해당없음,17321
