row,key,column,before,after,source
1933,케이아이에스정보통신(주),top_addr,,서울특별시 구로구 새말로 97 센터포인트웨스트 22,R3_사명교차전파
1933,케이아이에스정보통신(주),top_region,,서울,R3_사명교차전파
1934,케이아이에스정보통신(주),top_addr,,서울특별시 구로구 새말로 97 센터포인트웨스트 22,R3_사명교차전파
1934,케이아이에스정보통신(주),top_region,,서울,R3_사명교차전파
1935,케이아이에스정보통신(주),top_addr,,서울특별시 구로구 새말로 97 센터포인트웨스트 22,R3_사명교차전파
1935,케이아이에스정보통신(주),top_region,,서울,R3_사명교차전파
1936,케이아이에스정보통신(주),top_addr,,서울특별시 구로구 새말로 97 센터포인트웨스트 22,R3_사명교차전파
1936,케이아이에스정보통신(주),top_region,,서울,R3_사명교차전파
1937,케이아이에스정보통신(주),top_addr,,서울특별시 구로구 새말로 97 센터포인트웨스트 22,R3_사명교차전파
1937,케이아이에스정보통신(주),top_region,,서울,R3_사명교차전파
1938,케이아이에스정보통신(주),top_addr,,서울특별시 구로구 새말로 97 센터포인트웨스트 22,R3_사명교차전파
1938,케이아이에스정보통신(주),top_region,,서울,R3_사명교차전파
1939,케이아이에스정보통신(주),top_addr,,서울특별시 구로구 새말로 97 센터포인트웨스트 22,R3_사명교차전파
1939,케이아이에스정보통신(주),top_region,,서울,R3_사명교차전파
1940,케이아이에스정보통신(주),top_addr,,서울특별시 구로구 새말로 97 센터포인트웨스트 22,R3_사명교차전파
1940,케이아이에스정보통신(주),top_region,,서울,R3_사명교차전파
1941,케이아이에스정보통신(주),top_addr,,서울특별시 구로구 새말로 97 센터포인트웨스트 22,R3_사명교차전파
1941,케이아이에스정보통신(주),top_region,,서울,R3_사명교차전파
1950,현대캐피탈(주),top_addr,,서울특별시 중구 세종대로 14,R3_사명교차전파
1950,현대캐피탈(주),top_region,,서울,R3_사명교차전파
1951,현대캐피탈(주),top_addr,,서울특별시 중구 세종대로 14,R3_사명교차전파
1951,현대캐피탈(주),top_region,,서울,R3_사명교차전파
1952,현대캐피탈(주),top_addr,,서울특별시 중구 세종대로 14,R3_사명교차전파
1952,현대캐피탈(주),top_region,,서울,R3_사명교차전파
1953,현대캐피탈(주),top_addr,,서울특별시 중구 세종대로 14,R3_사명교차전파
1953,현대캐피탈(주),top_region,,서울,R3_사명교차전파
1954,현대캐피탈(주),top_addr,,서울특별시 중구 세종대로 14,R3_사명교차전파
1954,현대캐피탈(주),top_region,,서울,R3_사명교차전파
1955,현대캐피탈(주),top_addr,,서울특별시 중구 세종대로 14,R3_사명교차전파
1955,현대캐피탈(주),top_region,,서울,R3_사명교차전파
1956,현대캐피탈(주),top_addr,,서울특별시 중구 세종대로 14,R3_사명교차전파
1956,현대캐피탈(주),top_region,,서울,R3_사명교차전파
1957,현대캐피탈(주),top_addr,,서울특별시 중구 세종대로 14,R3_사명교차전파
1957,현대캐피탈(주),top_region,,서울,R3_사명교차전파
1958,현대캐피탈(주),top_addr,,서울특별시 중구 세종대로 14,R3_사명교차전파
1958,현대캐피탈(주),top_region,,서울,R3_사명교차전파
1959,현대캐피탈(주),top_addr,,서울특별시 중구 세종대로 14,R3_사명교차전파
1959,현대캐피탈(주),top_region,,서울,R3_사명교차전파
1960,현대캐피탈(주),top_addr,,서울특별시 중구 세종대로 14,R3_사명교차전파
1960,현대캐피탈(주),top_region,,서울,R3_사명교차전파
1961,현대캐피탈(주),top_addr,,서울특별시 중구 세종대로 14,R3_사명교차전파
1961,현대캐피탈(주),top_region,,서울,R3_사명교차전파
1962,현대캐피탈(주),top_addr,,서울특별시 중구 세종대로 14,R3_사명교차전파
1962,현대캐피탈(주),top_region,,서울,R3_사명교차전파
1963,현대캐피탈(주),top_addr,,서울특별시 중구 세종대로 14,R3_사명교차전파
1963,현대캐피탈(주),top_region,,서울,R3_사명교차전파
1964,현대캐피탈(주),top_addr,,서울특별시 중구 세종대로 14,R3_사명교차전파
1964,현대캐피탈(주),top_region,,서울,R3_사명교차전파
1965,현대캐피탈(주),top_addr,,서울특별시 중구 세종대로 14,R3_사명교차전파
1965,현대캐피탈(주),top_region,,서울,R3_사명교차전파
1966,현대캐피탈(주),top_addr,,서울특별시 중구 세종대로 14,R3_사명교차전파
1966,현대캐피탈(주),top_region,,서울,R3_사명교차전파
1967,현대캐피탈(주),top_addr,,서울특별시 중구 세종대로 14,R3_사명교차전파
1967,현대캐피탈(주),top_region,,서울,R3_사명교차전파
1968,현대캐피탈(주),top_addr,,서울특별시 중구 세종대로 14,R3_사명교차전파
1968,현대캐피탈(주),top_region,,서울,R3_사명교차전파
