character_id,normalized_name,canonical_name,appearance_count,speaker_turn_count,mention_count,unique_episode_count,total_score,is_focus_character,is_generic_name,source,overall_rank
char__king,king,King,929,6064,6285,3151,15136,True,False,light_combined,1
char__person,person,Person,659,4254,615,1090,6846,False,True,light_combined,2
char__queen,queen,Queen,422,2712,1827,1108,5805,False,False,light_combined,3
char__guard,guard,Guard,495,3167,1032,918,5684,False,True,light_combined,4
char__servant,servant,Servant,433,2758,591,613,4648,False,True,light_combined,5
char__priest,priest,Priest,388,2459,774,683,4397,False,False,light_combined,6
char__man,man,Man,183,1197,2238,1722,3984,False,True,light_combined,7
char__child,child,Child,305,1927,1112,779,3954,False,True,light_combined,8
char__peasant,peasant,Peasant,352,2259,419,493,3734,False,True,light_combined,9
char__knight,knight,Knight,312,1962,758,539,3656,False,False,light_combined,10
char__people,people,People,52,319,2767,1990,3242,False,True,light_combined,11
char__rat,rat,Rat,226,1453,734,401,2865,False,True,light_combined,12
char__horse,horse,Horse,192,1243,822,449,2641,False,True,light_combined,13
char__family,family,Family,42,268,2224,1386,2618,False,True,light_combined,14
char__bird,bird,Bird,213,1348,585,411,2572,False,True,light_combined,15
char__fish,fish,Fish,115,735,1292,531,2372,False,True,light_combined,16
char__animal,animal,Animal,205,1329,359,374,2303,False,True,light_combined,17
char__maid,maid,Maid,197,1289,370,339,2250,False,False,light_combined,18
char__villager,villager,Villager,222,1395,131,264,2192,False,True,light_combined,19
char__thief,thief,Thief,191,1238,372,335,2183,False,False,light_combined,20
char__god,god,God,62,379,1475,841,2040,False,False,light_combined,21
char__traveler,traveler,Traveler,185,1159,223,286,1937,False,True,light_combined,22
char__witch,witch,Witch,133,865,579,352,1843,False,False,light_combined,23
char__spider,spider,Spider,148,981,408,240,1833,False,False,light_combined,24
char__father,father,Father,26,156,1580,821,1814,False,True,light_combined,25
char__friend,friend,Friend,14,89,1654,1172,1785,False,True,light_combined,26
char__princess,princess,Princess,131,867,520,336,1780,False,False,light_combined,27
char__lord,lord,Lord,46,273,1366,756,1777,False,True,light_combined,28
char__ghost,ghost,Ghost,152,941,372,237,1769,False,False,light_combined,29
char__soldier,soldier,Soldier,161,992,228,231,1703,False,False,light_combined,30
char__dog,dog,Dog,114,701,659,399,1702,False,False,light_combined,31
char__guest,guest,Guest,164,1023,122,218,1637,False,True,light_combined,32
char__merchant,merchant,Merchant,146,907,247,264,1592,False,False,light_combined,33
char__farmer,farmer,Farmer,135,845,317,297,1567,False,True,light_combined,34
char__cat,cat,Cat,111,698,527,295,1558,False,False,light_combined,35
char__thing,thing,Thing,6,42,1457,1306,1517,False,False,light_combined,36
char__wife,wife,Wife,71,472,826,640,1511,False,True,light_combined,37
char__monk,monk,Monk,140,893,161,159,1474,False,False,light_combined,38
char__fisherman,fisherman,Fisherman,136,876,151,183,1435,False,False,light_combined,39
char__royal,royal,Royal,49,308,908,696,1363,False,False,light_combined,40
char__visitor,visitor,Visitor,133,850,71,155,1320,False,True,light_combined,41
char__woman,woman,Woman,97,608,384,375,1283,False,True,light_combined,42
char__dragon,dragon,Dragon,89,565,435,227,1267,False,False,light_combined,43
char__prisoner,prisoner,Prisoner,113,704,138,176,1181,False,False,light_combined,44
char__mouse,mouse,Mouse,83,558,354,208,1161,False,False,light_combined,45
char__bat,bat,Bat,99,619,236,142,1152,False,False,light_combined,46
char__wizard,wizard,Wizard,66,444,490,283,1132,False,False,light_combined,47
char__deer,deer,Deer,91,626,231,150,1130,False,False,light_combined,48
char__dogs,dogs,Dogs,94,600,246,227,1128,False,False,light_combined,49
char__blacksmith,blacksmith,Blacksmith,94,599,245,214,1126,False,False,light_combined,50
char__village,village,Village,4,28,1048,730,1088,False,False,light_combined,51
char__hunter,hunter,Hunter,94,607,148,142,1037,False,False,light_combined,52
char__creature,creature,Creature,70,431,345,323,986,False,False,light_combined,53
char__mother,mother,Mother,45,288,559,399,982,False,True,light_combined,54
char__sailor,sailor,Sailor,89,578,110,117,955,False,False,light_combined,55
char__royal_family,royal family,Royal Family,86,544,152,205,954,False,False,light_combined,56
char__prince,prince,Prince,56,347,414,273,929,False,False,light_combined,57
char__boy,boy,Boy,18,121,747,495,922,False,True,light_combined,58
char__archer,archer,Archer,85,560,91,95,906,False,False,light_combined,59
char__priests,priests,Priests,86,548,89,145,895,False,False,light_combined,60
char__worshipper,worshipper,Worshipper,89,575,12,90,854,False,False,light_combined,61
char__friends,friends,Friends,12,70,738,579,844,False,False,light_combined,62
char__children,children,Children,21,141,637,470,841,False,False,light_combined,63
char__bandit,bandit,Bandit,77,484,121,127,836,False,False,light_combined,64
char__troll,troll,Troll,66,410,228,116,836,False,False,light_combined,65
char__noble,noble,Noble,61,376,277,271,836,False,False,light_combined,66
char__snake,snake,Snake,55,354,309,170,828,False,False,light_combined,67
char__fairy,fairy,Fairy,59,389,259,154,825,False,False,light_combined,68
char__chicken,chicken,Chicken,56,347,297,183,812,False,False,light_combined,69
char__worker,worker,Worker,74,472,110,152,804,False,False,light_combined,70
char__kings,kings,Kings,45,284,380,360,799,False,False,light_combined,71
char__no_one,no one,No One,11,74,692,610,799,False,False,light_combined,72
char__family_member,family member,Family Member,86,528,11,92,797,False,False,light_combined,73
char__chef,chef,Chef,64,385,220,167,797,False,False,light_combined,74
char__spirit,spirit,Spirit,49,327,320,227,794,False,False,light_combined,75
char__farmers,farmers,Farmers,76,478,71,125,777,False,False,light_combined,76
char__son,son,Son,19,119,596,388,772,False,False,light_combined,77
char__snakes,snakes,Snakes,67,443,114,132,758,False,False,light_combined,78
char__insects,insects,Insects,65,402,160,157,757,False,False,light_combined,79
char__goblin,goblin,Goblin,65,426,118,88,739,False,False,light_combined,80
char__pirate,pirate,Pirate,64,425,117,90,734,False,False,light_combined,81
char__enemy,enemy,Enemy,54,336,209,190,707,False,False,light_combined,82
char__owner,owner,Owner,51,343,205,192,701,False,False,light_combined,83
char__guards,guards,Guards,4,28,646,478,686,False,False,light_combined,84
char__member,member,Member,60,396,106,135,682,False,False,light_combined,85
char__parishioner,parishioner,Parishioner,66,441,34,74,673,False,False,light_combined,86
char__jester,jester,Jester,50,319,204,135,673,False,False,light_combined,87
char__preacher,preacher,Preacher,60,412,67,65,659,False,False,light_combined,88
char__cook,cook,Cook,31,205,357,270,655,False,False,light_combined,89
char__customer,customer,Customer,67,416,31,84,648,False,False,light_combined,90
char__vulture,vulture,Vulture,60,384,81,72,645,False,False,light_combined,91
char__lady,lady,Lady,10,57,549,387,636,False,True,light_combined,92
char__fight,fight,Fight,3,13,611,459,633,False,False,light_combined,93
char__rabbit,rabbit,Rabbit,49,321,161,104,629,False,False,light_combined,94
char__fly,fly,Fly,16,108,473,319,629,False,False,light_combined,95
char__fool,fool,Fool,15,102,480,361,627,False,False,light_combined,96
char__mice,mice,Mice,44,294,197,153,623,False,False,light_combined,97
char__husband,husband,Husband,14,98,483,296,623,False,True,light_combined,98
char__criminal,criminal,Criminal,54,369,73,95,604,False,False,light_combined,99
char__captain,captain,Captain,43,281,194,115,604,False,False,light_combined,100
char__bear,bear,Bear,37,262,207,155,580,False,False,light_combined,101
char__cow,cow,Cow,46,297,136,103,571,False,False,light_combined,102
char__gods,gods,Gods,23,148,348,262,565,False,False,light_combined,103
char__bishop,bishop,Bishop,49,319,93,72,559,False,False,light_combined,104
char__resident,resident,Resident,57,371,15,63,557,False,False,light_combined,105
char__wolf,wolf,Wolf,35,231,217,130,553,False,False,light_combined,106
char__worms,worms,Worms,34,215,235,151,552,False,False,light_combined,107
char__others,others,Others,7,37,490,448,548,False,False,light_combined,108
char__craftsman,craftsman,Craftsman,53,321,63,68,543,False,False,light_combined,109
char__brother,brother,Brother,24,150,319,231,541,False,False,light_combined,110
char__daughter,daughter,Daughter,25,170,285,218,530,False,False,light_combined,111
