character_id,episode_id,character_name,source_field
char__court_wizard,train_ep_000000,court wizard,agents
char__soldier,train_ep_000000,soldier,agents
char__person,train_ep_000001,person,agents
char__thief,train_ep_000001,thief,agents
char__fairy,train_ep_000002,fairy,agents
char__witch,train_ep_000002,witch,agents
char__guard,train_ep_000003,guard,agents
char__prisoner,train_ep_000003,prisoner,agents
char__archer,train_ep_000004,archer,agents
char__king,train_ep_000004,king,agents
char__princess,train_ep_000005,princess,agents
char__troll,train_ep_000005,troll,agents
char__field_mice,train_ep_000006,field mice,agents
char__garter_snake,train_ep_000006,garter snake,agents
char__cockroach,train_ep_000007,cockroach,agents
char__firemen,train_ep_000007,firemen,agents
char__homeless_man,train_ep_000008,homeless man,agents
char__villager,train_ep_000008,villager,agents
char__knight,train_ep_000009,knight,agents
char__mice,train_ep_000009,mice,agents
char__mystical_lion,train_ep_000010,mystical lion,agents
char__wizard_overseer,train_ep_000010,wizard overseer,agents
char__priest,train_ep_000011,priest,agents
char__reindeer,train_ep_000011,reindeer,agents
char__werewolf,train_ep_000012,werewolf,agents
char__witch,train_ep_000012,witch,agents
char__fly,train_ep_000013,fly,agents
char__giant_frog,train_ep_000013,giant frog,agents
char__descendant_of_the_sons,train_ep_000014,descendant of the sons,agents
char__ghost,train_ep_000014,ghost,agents
char__knight,train_ep_000015,knight,agents
char__lady_of_the_court,train_ep_000015,lady of the court,agents
char__bandit,train_ep_000016,bandit,agents
char__thief,train_ep_000016,thief,agents
char__knight,train_ep_000017,knight,agents
char__visitor,train_ep_000017,visitor,agents
char__horse,train_ep_000018,horse,agents
char__queen,train_ep_000018,queen,agents
char__assistant,train_ep_000019,assistant,agents
char__bazaar_owner,train_ep_000019,bazaar owner,agents
char__knight,train_ep_000020,knight,agents
char__pet_dog,train_ep_000020,pet dog,agents
char__messenger,train_ep_000021,messenger,agents
char__prince,train_ep_000021,prince,agents
char__friend,train_ep_000022,friend,agents
char__townsperson,train_ep_000022,townsperson,agents
