episode_id,object_id,object_name,object_count_in_episode
train_ep_000000,obj__alarm_horn__d20ed7a8,alarm horn,14
train_ep_000001,obj__fluid__5cfea13b,fluid,14
train_ep_000001,obj__stool__801f91a6,stool,28
train_ep_000001,obj__wooden_bar__e18010fd,wooden bar,14
train_ep_000001,obj__barnacle__d2ba9502,barnacle,14
train_ep_000002,obj__dirty_wooden_bucket__d13b74e9,dirty wooden bucket,11
train_ep_000002,obj__lantern__9e87ffce,lantern,6
train_ep_000002,obj__small_bed__facfd127,small bed,14
train_ep_000003,obj__torch__69756f3c,torch,14
train_ep_000003,obj__cell__8d27600b,cell,14
train_ep_000003,obj__wall__2d86bdac,wall,14
train_ep_000003,obj__bar__37b51d19,bar,14
train_ep_000005,obj__mud__c95e3dd9,mud,14
train_ep_000005,obj__water__9460370b,water,14
train_ep_000005,obj__water_tower__01fa0e05,water tower,14
train_ep_000006,obj__door__2feaaf89,door,14
train_ep_000006,obj__tack_for_the_work_horses__cfc71b82,tack for the work horses,3
train_ep_000007,obj__enchanted_torch__16750954,enchanted torch,14
train_ep_000008,obj__ocean__45d20b1d,ocean,4
train_ep_000008,obj__castle__9355a9f9,castle,4
train_ep_000008,obj__cliff__9e94e929,cliff,4
train_ep_000008,obj__moat__3c3a57f1,moat,4
train_ep_000009,obj__weapon__282aa351,weapon,7
train_ep_000009,obj__bed__001cbc05,bed,7
train_ep_000009,obj__trunk__8d0411b3,trunk,7
train_ep_000010,obj__lion__6b42d00c,lion,14
train_ep_000010,obj__crystal__cc989606,crystal,3
train_ep_000011,obj__window__05b8c74c,window,8
train_ep_000011,obj__tree__c0af77cf,tree,4
train_ep_000011,obj__church__916586c8,church,4
train_ep_000011,obj__narrow_door__7026bb84,narrow door,4
train_ep_000011,obj__door__2feaaf89,door,4
train_ep_000012,obj__window__05b8c74c,window,11
train_ep_000012,obj__bone__a57fc812,bone,11
train_ep_000013,obj__grass__09d440e4,grass,14
train_ep_000013,obj__leaf__bab4ff04,leaf,14
train_ep_000013,obj__bird__abaecf8c,bird,14
train_ep_000013,obj__scarab_beetle__8ba162cb,scarab beetle,14
train_ep_000014,obj__wooden_table__1c031e74,wooden table,14
train_ep_000014,obj__painting__6a7c1b1d,painting,14
train_ep_000014,obj__ornate_chair__4f8c7394,ornate chair,14
train_ep_000014,obj__hanging_tapestry__84c3304e,hanging tapestry,14
train_ep_000015,obj__small_table__a17ce4c9,small table,14
train_ep_000015,obj__room__fef2576d,room,14
train_ep_000016,obj__cold_stone_wall__6ffb863d,cold stone wall,2
train_ep_000016,obj__secret_tunnel__57b3c615,secret tunnel,2
train_ep_000016,obj__corridor__b254e0ae,corridor,2
train_ep_000016,obj__floor__75158758,floor,2
train_ep_000016,obj__chain__9951112f,chain,2
train_ep_000016,obj__castle__9355a9f9,castle,2
train_ep_000016,obj__kingdom__dc420563,kingdom,2
train_ep_000016,obj__bar__37b51d19,bar,2
train_ep_000016,obj__skeletons__138f64f4,skeletons,2
train_ep_000017,obj__big_chandelier__0bf29dde,big chandelier,28
train_ep_000017,obj__red_brick__89df469e,red brick,4
train_ep_000017,obj__kings_throne__528cca0d,kings throne,28
train_ep_000018,obj__dinner__ad5acdfa,dinner,14
train_ep_000018,obj__candle__ce23a732,candle,28
train_ep_000018,obj__light__2ac43aa4,light,14
train_ep_000018,obj__king__b2086154,king,14
train_ep_000018,obj__grey_brick__5eac8ede,grey brick,14
train_ep_000019,obj__scale__0cb47aeb,scale,8
train_ep_000019,obj__gold_bar__526d5246,gold bar,3
train_ep_000019,obj__oak_wood__c6992fc9,oak wood,8
train_ep_000019,obj__big_wooden_table__e1e51e21,big wooden table,16
train_ep_000019,obj__aisle__beac3deb,aisle,8
train_ep_000020,obj__door__2feaaf89,door,28
train_ep_000021,obj__sword_of_the_guards__3a72e503,sword of the guards,6
train_ep_000021,obj__wood_trim__6e9be179,wood trim,28
train_ep_000021,obj__stones__a6251e42,stones,12
train_ep_000021,obj__castle__9355a9f9,castle,14
train_ep_000021,obj__lookout_tower__846da8ae,lookout tower,14
train_ep_000022,obj__lagoon__664a6ce4,lagoon,14
train_ep_000022,obj__lily_pad__01249156,lily pad,3
train_ep_000022,obj__moss__06a311b9,moss,10
train_ep_000023,obj__ship__2a3f1166,ship,28
train_ep_000023,obj__product__f5bf48aa,product,14
train_ep_000023,obj__fish__83e4a96a,fish,5
train_ep_000024,obj__window__05b8c74c,window,14
train_ep_000025,obj__pew__08db7753,pew,10
train_ep_000025,obj__stained_glass__a27f240f,stained glass,10
train_ep_000025,obj__altar__ff70cae5,altar,5
train_ep_000026,obj__wall__2d86bdac,wall,14
train_ep_000026,obj__rock__9a1f3094,rock,14
train_ep_000026,obj__torch__69756f3c,torch,14
train_ep_000026,obj__bone__a57fc812,bone,23
train_ep_000026,obj__opening__c1d8ae6c,opening,14
train_ep_000026,obj__passage__84edc120,passage,14
train_ep_000027,obj__wall__2d86bdac,wall,14
train_ep_000027,obj__mountain__ec6d9c89,mountain,14
train_ep_000028,obj__weed__8417a031,weed,9
train_ep_000028,obj__shutter__69768fb9,shutter,14
train_ep_000028,obj__small_decrepit_graveyard__03ddbf73,small decrepit graveyard,14
train_ep_000029,obj__river__a5b03048,river,28
train_ep_000029,obj__gurgling_water__abb663d5,gurgling water,14
train_ep_000029,obj__land__87cf962b,land,14
train_ep_000029,obj__mud__c95e3dd9,mud,26
train_ep_000029,obj__dirt__c90b1198,dirt,28
train_ep_000029,obj__clear_air__75a1f18a,clear air,14
train_ep_000029,obj__basket__0f6cdb62,basket,10
train_ep_000029,obj__fish__83e4a96a,fish,6
train_ep_000029,obj__worm__6d3f321e,worm,8
train_ep_000029,obj__water__9460370b,water,14
train_ep_000030,obj__tree__c0af77cf,tree,7
train_ep_000030,obj__mud__c95e3dd9,mud,7
train_ep_000030,obj__bone__a57fc812,bone,7
train_ep_000030,obj__carcass__05692c36,carcass,7
train_ep_000030,obj__mudpit__d7eeb908,mudpit,7
train_ep_000030,obj__vegetation__831740e4,vegetation,7
train_ep_000031,obj__thick_water__c0b5ac4c,thick water,8
train_ep_000031,obj__bone__a57fc812,bone,8
train_ep_000031,obj__wall__2d86bdac,wall,8
train_ep_000032,obj__pot__ecbfde13,pot,14
train_ep_000032,obj__pan__96ac0342,pan,14
train_ep_000032,obj__oven__2eb68694,oven,14
train_ep_000032,obj__knife__4cbfe673,knife,14
train_ep_000033,obj__wall__2d86bdac,wall,28
train_ep_000033,obj__observation_deck__8a5e076c,observation deck,14
train_ep_000033,obj__stair__8148a665,stair,28
train_ep_000033,obj__beautiful_land__af37dc64,beautiful land,14
train_ep_000033,obj__beautiful_farmland__68a4deb3,beautiful farmland,14
train_ep_000033,obj__castle__9355a9f9,castle,14
train_ep_000033,obj__countryside__9cff47d1,countryside,14
train_ep_000033,obj__vessel__5e47949e,vessel,9
train_ep_000033,obj__gold__e07e81c2,gold,14
train_ep_000034,obj__door_to_the_shack__2e6f4cd6,door to the shack,14
train_ep_000034,obj__mold__0ad9f975,mold,7
train_ep_000034,obj__wall__2d86bdac,wall,14
train_ep_000034,obj__shingle__1b77f14a,shingle,28
train_ep_000034,obj__roof_of_the_shack__6072f38d,roof of the shack,14
train_ep_000034,obj__front_porch__d103110e,front porch,14
train_ep_000034,obj__door_frame__d8ed5dcc,door frame,14
train_ep_000035,obj__small_flap__bc47d78e,small flap,14
train_ep_000035,obj__stretched_canvas__69cab42b,stretched canvas,28
train_ep_000035,obj__patch__e5c5e6da,patch,14
train_ep_000035,obj__rug__717de68e,rug,14
train_ep_000035,obj__door__2feaaf89,door,14
train_ep_000036,obj__claw_foot_tub__dea7ebd9,claw foot tub,14
train_ep_000036,obj__rug__717de68e,rug,9
train_ep_000036,obj__mirror__fbe322a8,mirror,14
train_ep_000036,obj__linen__a6ab62e9,linen,12
train_ep_000037,obj__green_jungle__1cf19f75,green jungle,13
train_ep_000037,obj__treehouse__e56e22e5,treehouse,13
train_ep_000037,obj__tree__c0af77cf,tree,13
train_ep_000037,obj__wall_hanging__f923af84,wall hanging,13
train_ep_000037,obj__mess_of_vines__2f0d5ca5,mess of vines,13
train_ep_000037,obj__bed__001cbc05,bed,13
train_ep_000037,obj__jungle_floor__535c6c64,jungle floor,13
train_ep_000037,obj__debris__2df9afbf,debris,13
train_ep_000037,obj__linen__a6ab62e9,linen,13
train_ep_000038,obj__tree__c0af77cf,tree,3
train_ep_000038,obj__trash_bin__e68fdb50,trash bin,3
train_ep_000038,obj__lamp_post__04ff1913,lamp post,3
train_ep_000038,obj__small_gazebo__1d26542c,small gazebo,3
train_ep_000038,obj__flower__608f0b98,flower,3
train_ep_000039,obj__window__05b8c74c,window,14
train_ep_000039,obj__fire__015f28b9,fire,14
train_ep_000039,obj__meal__d9ed7694,meal,14
train_ep_000039,obj__cooking_pot__d6065971,cooking pot,13
train_ep_000039,obj__kitchen__09228dac,kitchen,14
train_ep_000039,obj__building__1b20e902,building,14
train_ep_000039,obj__room__fef2576d,room,14
train_ep_000039,obj__door__2feaaf89,door,14
train_ep_000040,obj__large_chest_of_drawers__58e773ac,large chest of drawers,28
train_ep_000040,obj__large_four_poster_bed__9062e6cd,large four poster bed,28
train_ep_000040,obj__plank__05b8b9bd,plank,28
train_ep_000040,obj__gauzy_purple_fabric__aef91cd6,gauzy purple fabric,6
train_ep_000040,obj__duvet__fbed3603,duvet,14
train_ep_000040,obj__window__05b8c74c,window,28
train_ep_000040,obj__table__aab9e1de,table,14
train_ep_000040,obj__linen__a6ab62e9,linen,28
train_ep_000040,obj__king_s_armor__0b27e3d2,king's armor,12
train_ep_000040,obj__king_s_clothing__b21f56e5,king's clothing,5
train_ep_000040,obj__gilded_mirror__3470e427,gilded mirror,14
train_ep_000040,obj__tassel__f7aeb082,tassel,14
train_ep_000040,obj__gold__e07e81c2,gold,14
train_ep_000041,obj__crossbow_with_no_string__1ef3f353,crossbow with no string,14
train_ep_000041,obj__largest_trash_heap__4fa556da,largest trash heap,14
train_ep_000041,obj__wooden_chair_with_one_leg_broken__937b3306,wooden chair with one leg broken,14
train_ep_000041,obj__rag_dool_with_the_head_detached__3a06597d,rag dool with the head detached,2
train_ep_000042,obj__long_skinny_tree__f6769706,long skinny tree,14
train_ep_000042,obj__needle__4bf84bab,needle,19
train_ep_000042,obj__tree__c0af77cf,tree,14
train_ep_000043,obj__stone__0a840ef4,stone,9
train_ep_000044,obj__branches__92ec19ff,branches,14
train_ep_000044,obj__lamp__263addb7,lamp,28
train_ep_000044,obj__vine__a77b5176,vine,28
train_ep_000044,obj__small_table__a17ce4c9,small table,28
train_ep_000044,obj__tree__c0af77cf,tree,14
train_ep_000044,obj__twine__3054ce7c,twine,28
train_ep_000044,obj__bow__18222660,bow,14
train_ep_000044,obj__branch__9603a224,branch,14
train_ep_000044,obj__stick__37f8bf33,stick,19
train_ep_000044,obj__stone__0a840ef4,stone,14
train_ep_000045,obj__hill__debaee4a,hill,14
train_ep_000045,obj__tower__79835ea3,tower,28
train_ep_000045,obj__signal_fire__5c608671,signal fire,14
train_ep_000045,obj__stair__8148a665,stair,28
train_ep_000045,obj__stone__0a840ef4,stone,8
train_ep_000046,obj__stone__0a840ef4,stone,7
train_ep_000046,obj__hammers__362aa834,hammers,7
train_ep_000046,obj__iron__bcd31c71,iron,6
train_ep_000046,obj__tongs__90418476,tongs,14
train_ep_000046,obj__hammer__5f9901fc,hammer,5
train_ep_000046,obj__forge__228410f5,forge,7
train_ep_000046,obj__wooden_workbench__2b2f907d,wooden workbench,7
train_ep_000046,obj__tool__39ab32c5,tool,7
train_ep_000047,obj__floor__75158758,floor,14
train_ep_000047,obj__large_ornate_carpet__3dd94407,large ornate carpet,14
train_ep_000048,obj__armor__3ee45b1f,armor,14
train_ep_000048,obj__manikin__42da0307,manikin,14
train_ep_000048,obj__mace__22213c39,mace,5
train_ep_000048,obj__lance__3573c6ef,lance,14
train_ep_000048,obj__weapon__282aa351,weapon,1
train_ep_000049,obj__shackle__bf676db8,shackle,5
train_ep_000049,obj__knife__4cbfe673,knife,11
train_ep_000050,obj__lamp__263addb7,lamp,14
train_ep_000050,obj__worn_quilt__6d462c07,worn quilt,5
train_ep_000050,obj__woven_blue_rug__4044eca6,woven blue rug,6
train_ep_000050,obj__wooden_bed__13590b18,wooden bed,9
train_ep_000050,obj__dresser__c4193732,dresser,14
train_ep_000051,obj__priceless_painting_of_past_kings__d46c0026,priceless painting of past kings,14
train_ep_000051,obj__jewel__29d233ae,jewel,5
train_ep_000051,obj__red_carpet__268d65fc,red carpet,28
train_ep_000051,obj__crown__408e69f6,crown,11
train_ep_000051,obj__gold__e07e81c2,gold,14
train_ep_000051,obj__golden_throne__7600de15,golden throne,28
train_ep_000051,obj__priceless_painting__0da86388,priceless painting,14
train_ep_000051,obj__vaulted_ceiling__d75b1bd9,vaulted ceiling,14
train_ep_000052,obj__small_metal_bucket__f969b62e,small metal bucket,8
train_ep_000052,obj__wall__2d86bdac,wall,14
train_ep_000052,obj__metal_bucket__12d72eba,metal bucket,14
train_ep_000053,obj__room__fef2576d,room,14
train_ep_000054,obj__sapphire__94149db1,sapphire,24
train_ep_000054,obj__ruby__58e53d13,ruby,27
train_ep_000054,obj__crown__408e69f6,crown,7
train_ep_000054,obj__gold__e07e81c2,gold,14
train_ep_000054,obj__metal__86094b61,metal,14
train_ep_000054,obj__silver__97f01451,silver,9
train_ep_000055,obj__small_wooden_bed__29397509,small wooden bed,28
train_ep_000055,obj__small_wooden_cabinet__043a76b4,small wooden cabinet,28
train_ep_000055,obj__wooden_chair__953b4e21,wooden chair,14
train_ep_000055,obj__second_pair_of_clothing__c18eb6a6,second pair of clothing,14
train_ep_000055,obj__colorful_homemade_quilt__daf8c1cd,colorful homemade quilt,20
train_ep_000055,obj__straw_mattress__cc48f53b,straw mattress,14
train_ep_000055,obj__colorful_homemade_tapestry__dabebc4d,colorful homemade tapestry,14
train_ep_000055,obj__wall__2d86bdac,wall,14
train_ep_000056,obj__waterfall__911b1ca4,waterfall,14
train_ep_000057,obj__monkey__d0763eda,monkey,14
train_ep_000057,obj__nests__9e4addf3,nests,24
train_ep_000057,obj__branch__9603a224,branch,27
train_ep_000057,obj__flower__608f0b98,flower,28
train_ep_000057,obj__bird__abaecf8c,bird,14
train_ep_000058,obj__chandelier__9ac23ec9,chandelier,14
train_ep_000058,obj__rug__717de68e,rug,14
train_ep_000058,obj__colorful_painting__35555167,colorful painting,14
train_ep_000058,obj__seat__554e4b55,seat,14
train_ep_000058,obj__candle__ce23a732,candle,14
train_ep_000058,obj__gown__c3390dfc,gown,14
train_ep_000059,obj__handmade_rug__34c3a1be,handmade rug,7
train_ep_000059,obj__tapestry__8873d146,tapestry,14
train_ep_000059,obj__candle__ce23a732,candle,14
train_ep_000059,obj__mirror__fbe322a8,mirror,14
train_ep_000060,obj__rock__9a1f3094,rock,14
train_ep_000061,obj__bench__1d28d258,bench,14
train_ep_000061,obj__wildflower__0cf83c1b,wildflower,14
train_ep_000062,obj__blacksmith__c2428781,blacksmith,28
train_ep_000062,obj__building__1b20e902,building,14
train_ep_000062,obj__armory__f1c6e216,armory,28
train_ep_000062,obj__small_wooden_house__d397b27d,small wooden house,14
train_ep_000062,obj__temple__44fdfd6b,temple,28
train_ep_000062,obj__town__7198cda5,town,14
train_ep_000062,obj__public_bath__46b0f4d1,public bath,14
train_ep_000062,obj__farm__e67ed91b,farm,14
train_ep_000062,obj__pub__3a21cd73,pub,28
train_ep_000063,obj__gold__e07e81c2,gold,14
train_ep_000063,obj__tombstone__dba875f1,tombstone,14
train_ep_000063,obj__small_metal_fence__202a2879,small metal fence,14
train_ep_000064,obj__adornment__f215cd95,adornment,12
train_ep_000064,obj__statue__a643f0c6,statue,12
train_ep_000064,obj__ceiling__246b2dd5,ceiling,6
train_ep_000064,obj__candle__ce23a732,candle,12
train_ep_000065,obj__bed__001cbc05,bed,28
train_ep_000065,obj__rectory__af9459b5,rectory,14
train_ep_000065,obj__wood__22811dd9,wood,7
train_ep_000066,obj__pirate__ad015ef4,pirate,9
train_ep_000066,obj__cargo__f91cd5d6,cargo,8
train_ep_000067,obj__clouds__073caed7,clouds,14
train_ep_000067,obj__sky__900bc885,sky,14
train_ep_000067,obj__path__d6fe1d0b,path,14
train_ep_000067,obj__fog__3811727d,fog,14
train_ep_000068,obj__torch__69756f3c,torch,28
train_ep_000068,obj__window__05b8c74c,window,14
train_ep_000068,obj__wall__2d86bdac,wall,14
train_ep_000068,obj__suit_of_armor__66f246e8,suit of armor,14
train_ep_000068,obj__scroll__089b0cdd,scroll,9
train_ep_000069,obj__booth__d20ad56e,booth,14
train_ep_000069,obj__sheer_screen__8afeae01,sheer screen,14
train_ep_000069,obj__curtain__2805ba35,curtain,28
train_ep_000069,obj__confessional__f24d3972,confessional,14
train_ep_000069,obj__painting__6a7c1b1d,painting,28
train_ep_000070,obj__blacksmith_s_hammer__922ff8c9,blacksmith's hammer,5
train_ep_000070,obj__tapestry__8873d146,tapestry,14
train_ep_000070,obj__spice__77f4de0c,spice,14
train_ep_000070,obj__food__62506be3,food,3
train_ep_000070,obj__tool__39ab32c5,tool,13
