episode_id,location_id,location_name,location_category
train_ep_000000,loc__watchtower__2275d0f0,watchtower,Outside Tower
train_ep_000001,loc__port_tavern__48d771c2,port tavern,Port
train_ep_000002,loc__prison_room__075cec3e,prison room,Inside Tower
train_ep_000003,loc__dungeon__e0dc3209,dungeon,Inside Castle
train_ep_000004,loc__master_bedroom__ee30383a,master bedroom,Inside Palace
train_ep_000005,loc__troll_s_bridge__934a7368,troll's bridge,Swamp
train_ep_000006,loc__barn__5dfcc0aa,barn,Farm
train_ep_000007,loc__inside_a_desolate_cave__62f3c8b1,inside a desolate cave,Dungeon
train_ep_000008,loc__abandoned_castle_on_an_ocean_cliff_side__2a4a7700,abandoned castle on an ocean cliff side,Abandoned
train_ep_000009,loc__knights_quarters__d1135fd1,knights quarters,Inside Castle
train_ep_000010,loc__underground_chamber__d71a7d7a,underground chamber,Cave
train_ep_000011,loc__outside_the_church_of_monks__12e0820b,outside the church of monks,Outside Church
train_ep_000012,loc__werewolves_tavern__a0b69047,werewolves tavern,Tavern
train_ep_000013,loc__inside_the_fairy_temple__748c1bf3,inside the fairy temple,Inside Temple
train_ep_000014,loc__dining_hall__10c40af2,dining hall,Inside Tower
train_ep_000015,loc__confessional_room__22bf6614,confessional room,Inside Church
train_ep_000016,loc__dungeon__e0dc3209,dungeon,Inside Castle
train_ep_000017,loc__castle__9355a9f9,castle,Inside Castle
train_ep_000018,loc__castle__9355a9f9,castle,Inside Castle
train_ep_000019,loc__bazaar__8c5c7284,bazaar,Bazaar
train_ep_000020,loc__tower__79835ea3,tower,Inside Tower
train_ep_000021,loc__tower__79835ea3,tower,Outside Tower
train_ep_000022,loc__lagoon__664a6ce4,lagoon,Lake
train_ep_000023,loc__docks__d1b1bb99,docks,Port
train_ep_000024,loc__sacred_temple__0ee6dca9,sacred temple,Inside Church
train_ep_000025,loc__inside_the_temple__573b0d5f,inside the temple,Inside Temple
train_ep_000026,loc__cave__e386df9e,cave,Cave
train_ep_000027,loc__outside_tower__7dc67c9f,outside tower,Outside Tower
train_ep_000028,loc__outside_church__9f23256f,outside church,Outside Church
train_ep_000029,loc__riverbed__acbe6245,riverbed,Forest
train_ep_000030,loc__mud_pit__7a862ed0,mud pit,Jungle
train_ep_000031,loc__military_outpost_at_the_heart_of_the_swamp__0b91dfd0,military outpost at the heart of the swamp,Swamp
train_ep_000032,loc__royal_kitchen__fca4f709,royal kitchen,Inside Palace
train_ep_000033,loc__inside_tower__3d67c0a7,inside tower,Inside Tower
train_ep_000034,loc__abandoned_shack__d3865a64,abandoned shack,Wasteland
train_ep_000035,loc__yurt__e67b7569,yurt,Desert
train_ep_000036,loc__bathroom__67518d64,bathroom,Inside Tower
train_ep_000037,loc__tree_house__493a5d1a,tree house,Jungle
train_ep_000038,loc__town_square__4d10acd1,town square,Town
train_ep_000039,loc__living_quarters__26fbc0ca,living quarters,Farm
train_ep_000040,loc__kings_chambers__3b38188f,kings chambers,Inside Palace
train_ep_000041,loc__trash_heap__0e440590,trash heap,Wasteland
train_ep_000042,loc__entrance_to_the_pine_trees__857c5da1,entrance to the pine trees,Forest
train_ep_000043,loc__dark_cave__b9185199,dark cave,Cave
train_ep_000044,loc__tree_house__493a5d1a,tree house,Jungle
train_ep_000045,loc__top_side_tower_overlooking_view__8b843a89,top side tower overlooking view,Outside Tower
train_ep_000046,loc__black_smiths_shop__5379f4dc,black smiths shop,Town
train_ep_000047,loc__lakeside_house__e89e18cd,lakeside house,Lake
train_ep_000048,loc__armory__f1c6e216,armory,Inside Castle
train_ep_000049,loc__torture_chamber__11dfca19,torture chamber,Dungeon
train_ep_000050,loc__bedroom__cff8b1fe,bedroom,Inside Cottage
train_ep_000051,loc__throne_room__f4977c99,throne room,Shore
train_ep_000052,loc__jail_room__4ad818b4,jail room,Inside Tower
train_ep_000053,loc__choir_room__35978911,choir room,Inside Church
train_ep_000054,loc__underground_cavern__2714911b,underground cavern,Cave
train_ep_000055,loc__bedroom__cff8b1fe,bedroom,Inside Cottage
train_ep_000056,loc__waterfall__911b1ca4,waterfall,Mountain
train_ep_000057,loc__top_of_a_tall_tree__6c2eb414,top of a tall tree,Jungle
train_ep_000058,loc__grand_dancing_hall__7dd99710,grand dancing hall,Inside Palace
train_ep_000059,loc__dining_hall__10c40af2,dining hall,Inside Castle
train_ep_000060,loc__summit__cc8c6287,summit,Mountain
train_ep_000061,loc__scenic_overlook__9ccff5f9,scenic overlook,Trail
train_ep_000062,loc__town__7198cda5,town,Town
train_ep_000063,loc__tombstones_of_the_kings__f98f35ed,tombstones of the kings,Graveyard
train_ep_000064,loc__sanctuary__80452c45,sanctuary,Inside Church
train_ep_000065,loc__rectory__af9459b5,rectory,Inside Church
train_ep_000066,loc__loading_dock__2e35f637,loading dock,Port
train_ep_000067,loc__mountain_peak__924f5a88,mountain peak,Mountain
train_ep_000068,loc__spiral_staircase__031e4915,spiral staircase,Inside Tower
train_ep_000069,loc__confessional__f24d3972,confessional,Inside Church
train_ep_000070,loc__marketplace__bc5986eb,marketplace,Port
train_ep_000071,loc__beyond_the_wall__adff6e1c,beyond the wall,Outside Castle
