character_id,normalized_name,canonical_name,is_focus_character,is_generic_name,appearance_count,speaker_turn_count,mention_count,unique_episode_count,total_score,overall_rank,source
char__king,king,King,True,False,929,6064,6285,3151,15136,1,light_combined
char__person,person,Person,False,True,659,4254,615,1090,6846,2,light_combined
char__queen,queen,Queen,False,False,422,2712,1827,1108,5805,3,light_combined
char__guard,guard,Guard,False,True,495,3167,1032,918,5684,4,light_combined
char__servant,servant,Servant,False,True,433,2758,591,613,4648,5,light_combined
char__priest,priest,Priest,False,False,388,2459,774,683,4397,6,light_combined
char__man,man,Man,False,True,183,1197,2238,1722,3984,7,light_combined
char__child,child,Child,False,True,305,1927,1112,779,3954,8,light_combined
char__peasant,peasant,Peasant,False,True,352,2259,419,493,3734,9,light_combined
char__knight,knight,Knight,False,False,312,1962,758,539,3656,10,light_combined
char__people,people,People,False,True,52,319,2767,1990,3242,11,light_combined
char__rat,rat,Rat,False,True,226,1453,734,401,2865,12,light_combined
char__horse,horse,Horse,False,True,192,1243,822,449,2641,13,light_combined
char__family,family,Family,False,True,42,268,2224,1386,2618,14,light_combined
char__bird,bird,Bird,False,True,213,1348,585,411,2572,15,light_combined
char__fish,fish,Fish,False,True,115,735,1292,531,2372,16,light_combined
char__animal,animal,Animal,False,True,205,1329,359,374,2303,17,light_combined
char__maid,maid,Maid,False,False,197,1289,370,339,2250,18,light_combined
char__villager,villager,Villager,False,True,222,1395,131,264,2192,19,light_combined
char__thief,thief,Thief,False,False,191,1238,372,335,2183,20,light_combined
char__god,god,God,False,False,62,379,1475,841,2040,21,light_combined
char__traveler,traveler,Traveler,False,True,185,1159,223,286,1937,22,light_combined
char__witch,witch,Witch,False,False,133,865,579,352,1843,23,light_combined
char__spider,spider,Spider,False,False,148,981,408,240,1833,24,light_combined
char__father,father,Father,False,True,26,156,1580,821,1814,25,light_combined
char__friend,friend,Friend,False,True,14,89,1654,1172,1785,26,light_combined
char__princess,princess,Princess,False,False,131,867,520,336,1780,27,light_combined
char__lord,lord,Lord,False,True,46,273,1366,756,1777,28,light_combined
char__ghost,ghost,Ghost,False,False,152,941,372,237,1769,29,light_combined
char__soldier,soldier,Soldier,False,False,161,992,228,231,1703,30,light_combined
char__dog,dog,Dog,False,False,114,701,659,399,1702,31,light_combined
char__guest,guest,Guest,False,True,164,1023,122,218,1637,32,light_combined
char__merchant,merchant,Merchant,False,False,146,907,247,264,1592,33,light_combined
char__farmer,farmer,Farmer,False,True,135,845,317,297,1567,34,light_combined
char__cat,cat,Cat,False,False,111,698,527,295,1558,35,light_combined
char__thing,thing,Thing,False,False,6,42,1457,1306,1517,36,light_combined
char__wife,wife,Wife,False,True,71,472,826,640,1511,37,light_combined
char__monk,monk,Monk,False,False,140,893,161,159,1474,38,light_combined
char__fisherman,fisherman,Fisherman,False,False,136,876,151,183,1435,39,light_combined
char__royal,royal,Royal,False,False,49,308,908,696,1363,40,light_combined
char__visitor,visitor,Visitor,False,True,133,850,71,155,1320,41,light_combined
char__woman,woman,Woman,False,True,97,608,384,375,1283,42,light_combined
char__dragon,dragon,Dragon,False,False,89,565,435,227,1267,43,light_combined
char__prisoner,prisoner,Prisoner,False,False,113,704,138,176,1181,44,light_combined
char__mouse,mouse,Mouse,False,False,83,558,354,208,1161,45,light_combined
char__bat,bat,Bat,False,False,99,619,236,142,1152,46,light_combined
char__wizard,wizard,Wizard,False,False,66,444,490,283,1132,47,light_combined
char__deer,deer,Deer,False,False,91,626,231,150,1130,48,light_combined
char__dogs,dogs,Dogs,False,False,94,600,246,227,1128,49,light_combined
char__blacksmith,blacksmith,Blacksmith,False,False,94,599,245,214,1126,50,light_combined
char__village,village,Village,False,False,4,28,1048,730,1088,51,light_combined
char__hunter,hunter,Hunter,False,False,94,607,148,142,1037,52,light_combined
char__creature,creature,Creature,False,False,70,431,345,323,986,53,light_combined
char__mother,mother,Mother,False,True,45,288,559,399,982,54,light_combined
char__sailor,sailor,Sailor,False,False,89,578,110,117,955,55,light_combined
char__royal_family,royal family,Royal Family,False,False,86,544,152,205,954,56,light_combined
char__prince,prince,Prince,False,False,56,347,414,273,929,57,light_combined
char__boy,boy,Boy,False,True,18,121,747,495,922,58,light_combined
char__archer,archer,Archer,False,False,85,560,91,95,906,59,light_combined
char__priests,priests,Priests,False,False,86,548,89,145,895,60,light_combined
char__worshipper,worshipper,Worshipper,False,False,89,575,12,90,854,61,light_combined
char__friends,friends,Friends,False,False,12,70,738,579,844,62,light_combined
char__children,children,Children,False,False,21,141,637,470,841,63,light_combined
char__bandit,bandit,Bandit,False,False,77,484,121,127,836,64,light_combined
char__troll,troll,Troll,False,False,66,410,228,116,836,65,light_combined
char__noble,noble,Noble,False,False,61,376,277,271,836,66,light_combined
char__snake,snake,Snake,False,False,55,354,309,170,828,67,light_combined
char__fairy,fairy,Fairy,False,False,59,389,259,154,825,68,light_combined
char__chicken,chicken,Chicken,False,False,56,347,297,183,812,69,light_combined
char__worker,worker,Worker,False,False,74,472,110,152,804,70,light_combined
char__kings,kings,Kings,False,False,45,284,380,360,799,71,light_combined
char__no_one,no one,No One,False,False,11,74,692,610,799,72,light_combined
char__family_member,family member,Family Member,False,False,86,528,11,92,797,73,light_combined
char__chef,chef,Chef,False,False,64,385,220,167,797,74,light_combined
char__spirit,spirit,Spirit,False,False,49,327,320,227,794,75,light_combined
char__farmers,farmers,Farmers,False,False,76,478,71,125,777,76,light_combined
char__son,son,Son,False,False,19,119,596,388,772,77,light_combined
char__snakes,snakes,Snakes,False,False,67,443,114,132,758,78,light_combined
char__insects,insects,Insects,False,False,65,402,160,157,757,79,light_combined
char__goblin,goblin,Goblin,False,False,65,426,118,88,739,80,light_combined
char__pirate,pirate,Pirate,False,False,64,425,117,90,734,81,light_combined
char__enemy,enemy,Enemy,False,False,54,336,209,190,707,82,light_combined
char__owner,owner,Owner,False,False,51,343,205,192,701,83,light_combined
char__guards,guards,Guards,False,False,4,28,646,478,686,84,light_combined
char__member,member,Member,False,False,60,396,106,135,682,85,light_combined
char__parishioner,parishioner,Parishioner,False,False,66,441,34,74,673,86,light_combined
char__jester,jester,Jester,False,False,50,319,204,135,673,87,light_combined
char__preacher,preacher,Preacher,False,False,60,412,67,65,659,88,light_combined
char__cook,cook,Cook,False,False,31,205,357,270,655,89,light_combined
char__customer,customer,Customer,False,False,67,416,31,84,648,90,light_combined
char__vulture,vulture,Vulture,False,False,60,384,81,72,645,91,light_combined
char__lady,lady,Lady,False,True,10,57,549,387,636,92,light_combined
char__fight,fight,Fight,False,False,3,13,611,459,633,93,light_combined
char__rabbit,rabbit,Rabbit,False,False,49,321,161,104,629,94,light_combined
char__fly,fly,Fly,False,False,16,108,473,319,629,95,light_combined
char__fool,fool,Fool,False,False,15,102,480,361,627,96,light_combined
char__mice,mice,Mice,False,False,44,294,197,153,623,97,light_combined
char__husband,husband,Husband,False,True,14,98,483,296,623,98,light_combined
char__criminal,criminal,Criminal,False,False,54,369,73,95,604,99,light_combined
char__captain,captain,Captain,False,False,43,281,194,115,604,100,light_combined
char__bear,bear,Bear,False,False,37,262,207,155,580,101,light_combined
char__cow,cow,Cow,False,False,46,297,136,103,571,102,light_combined
char__gods,gods,Gods,False,False,23,148,348,262,565,103,light_combined
char__bishop,bishop,Bishop,False,False,49,319,93,72,559,104,light_combined
