normalized_name,canonical_name,object_count_in_king_episodes,is_background_object,is_story_relevant_candidate
table,Table,2373,True,False
candle,Candle,1914,True,False
window,Window,1692,True,False
wall,Wall,1670,True,False
chair,Chair,1389,True,False
door,Door,1366,True,False
tapestry,Tapestry,1349,False,False
gold,Gold,1309,False,True
bed,Bed,1279,True,False
sword,Sword,1104,False,True
tree,Tree,1055,False,False
flower,Flower,1013,False,False
book,Book,823,False,True
painting,Painting,791,False,False
red carpet,Red Carpet,724,False,False
stone,Stone,690,False,False
torch,Torch,661,True,False
shelf,Shelf,653,True,False
weapon,Weapon,627,False,False
bench,Bench,616,True,False
rug,Rug,599,True,False
statue,Statue,594,False,False
plate,Plate,579,False,False
chandelier,Chandelier,544,False,False
castle,Castle,544,False,False
throne,Throne,543,False,True
grass,Grass,467,False,False
tool,Tool,460,False,False
golden throne,Golden Throne,458,False,True
rock,Rock,454,False,False
bone,Bone,438,False,False
jewel,Jewel,430,False,True
floor,Floor,422,True,False
ceiling,Ceiling,405,True,False
mirror,Mirror,391,False,False
pot,Pot,391,False,False
curtain,Curtain,388,True,False
dirt,Dirt,377,False,False
moss,Moss,375,False,False
ornament,Ornament,371,False,False
sapphire,Sapphire,369,False,False
shrub,Shrub,368,False,False
knife,Knife,363,False,True
crown,Crown,346,False,True
ruby,Ruby,345,False,False
silver,Silver,343,False,False
sand,Sand,338,False,False
desk,Desk,330,False,False
axe,Axe,328,False,False
ocean,Ocean,326,False,False
chain,Chain,324,False,False
room,Room,322,True,False
banner,Banner,319,False,False
large ornate table,Large Ornate Table,314,False,False
light,Light,308,False,False
food,Food,305,False,False
murals,Murals,303,False,False
marble floor,Marble Floor,303,False,False
linen,Linen,294,False,False
coin,Coin,287,False,True
bar,Bar,286,False,False
beach,Beach,284,False,False
tower,Tower,280,False,False
wood,Wood,279,False,False
grey brick,Grey Brick,266,False,False
dinner,Dinner,266,False,False
king,King,266,False,False
parchment,Parchment,265,False,False
rainbow,Rainbow,263,False,False
large four poster bed,Large Four Poster Bed,257,False,False
bow,Bow,257,False,False
large chest of drawers,Large Chest Of Drawers,257,False,True
building,Building,256,False,False
mahogany writing desk,Mahogany Writing Desk,254,False,False
giant four poster bed,Giant Four Poster Bed,254,False,False
moat,Moat,253,False,False
plank,Plank,244,False,False
fur carpet,Fur Carpet,242,False,False
mace,Mace,240,False,False
silverware,Silverware,238,False,False
stair,Stair,238,False,False
big chandelier,Big Chandelier,237,False,False
kings throne,Kings Throne,237,False,True
hay,Hay,233,False,False
goddess,Goddess,231,False,False
shackle,Shackle,225,False,False
blanket,Blanket,224,False,False
