character_id,normalized_name,canonical_name,appearance_count,speaker_turn_count,mention_count,unique_episode_count,total_score,is_target_agent_name,is_generic_name,source,overall_rank_in_target_subset
char__king,king,King,332,2117,447,332,3560,True,False,top_king_persona_subset,1
char__queen,queen,Queen,44,281,143,101,556,False,False,top_king_persona_subset,2
char__servant,servant,Servant,33,188,53,45,340,False,True,top_king_persona_subset,3
char__maid,maid,Maid,17,112,30,24,193,False,False,top_king_persona_subset,4
char__guard,guard,Guard,15,96,52,36,193,False,True,top_king_persona_subset,5
char__knight,knight,Knight,13,90,33,20,162,False,False,top_king_persona_subset,6
char__people,people,People,3,16,109,65,134,False,True,top_king_persona_subset,7
char__brother,brother,Brother,10,70,33,21,133,False,False,top_king_persona_subset,8
char__townperson,townperson,Townperson,14,88,2,14,132,False,False,top_king_persona_subset,9
char__guest,guest,Guest,12,80,5,12,121,False,True,top_king_persona_subset,10
char__merchant,merchant,Merchant,9,63,20,15,110,False,False,top_king_persona_subset,11
char__person,person,Person,10,61,13,19,104,False,True,top_king_persona_subset,12
char__princess,princess,Princess,9,63,12,14,102,False,False,top_king_persona_subset,13
char__blacksmith,blacksmith,Blacksmith,8,51,24,17,99,False,False,top_king_persona_subset,14
char__lord,lord,Lord,0,0,97,46,97,False,True,top_king_persona_subset,15
char__man,man,Man,2,14,71,57,91,False,True,top_king_persona_subset,16
char__chef,chef,Chef,5,35,25,18,75,False,False,top_king_persona_subset,17
char__noble,noble,Noble,6,42,13,17,73,False,False,top_king_persona_subset,18
char__subject,subject,Subject,7,39,12,12,72,False,False,top_king_persona_subset,19
char__family,family,Family,0,0,72,45,72,False,True,top_king_persona_subset,20
char__royal,royal,Royal,0,0,72,55,72,False,False,top_king_persona_subset,21
char__father,father,Father,0,0,71,35,71,False,True,top_king_persona_subset,22
char__diplomat,diplomat,Diplomat,6,42,5,8,65,False,False,top_king_persona_subset,23
char__dragon,dragon,Dragon,3,19,32,13,60,False,False,top_king_persona_subset,24
char__guards,guards,Guards,0,0,60,44,60,False,False,top_king_persona_subset,25
char__officer,officer,Officer,6,38,3,6,59,False,False,top_king_persona_subset,26
char__spider,spider,Spider,5,35,9,6,59,False,False,top_king_persona_subset,27
char__enemy,enemy,Enemy,4,28,14,11,54,False,False,top_king_persona_subset,28
char__child,child,Child,3,18,27,19,54,False,True,top_king_persona_subset,29
char__kings,kings,Kings,6,30,4,9,52,False,False,top_king_persona_subset,30
char__thing,thing,Thing,0,0,48,46,48,False,False,top_king_persona_subset,31
char__murderer,murderer,Murderer,5,28,4,5,47,False,False,top_king_persona_subset,32
char__fool,fool,Fool,2,11,30,21,47,False,False,top_king_persona_subset,33
char__his_father,his father,His Father,4,28,3,6,43,False,False,top_king_persona_subset,34
char__royal_family,royal family,Royal Family,4,24,6,10,42,False,False,top_king_persona_subset,35
char__wife,wife,Wife,0,0,42,28,42,False,True,top_king_persona_subset,36
char__priest,priest,Priest,3,20,11,11,40,False,False,top_king_persona_subset,37
char__son,son,Son,0,0,39,26,39,False,False,top_king_persona_subset,38
char__rabbit,rabbit,Rabbit,2,14,17,4,37,False,False,top_king_persona_subset,39
char__visitor,visitor,Visitor,3,21,4,4,34,False,True,top_king_persona_subset,40
char__thief,thief,Thief,3,9,16,8,34,False,False,top_king_persona_subset,41
char__battle,battle,Battle,0,0,34,24,34,False,False,top_king_persona_subset,42
char__prisoner,prisoner,Prisoner,4,15,5,9,32,False,False,top_king_persona_subset,43
char__mother,mother,Mother,0,0,32,16,32,False,True,top_king_persona_subset,44
char__debtor,debtor,Debtor,3,21,1,3,31,False,False,top_king_persona_subset,45
char__pheasant,pheasant,Pheasant,2,12,11,5,29,False,False,top_king_persona_subset,46
char__customer,customer,Customer,3,18,1,3,28,False,False,top_king_persona_subset,47
char__priests,priests,Priests,3,18,1,4,28,False,False,top_king_persona_subset,48
char__villager,villager,Villager,2,14,6,4,26,False,True,top_king_persona_subset,49
char__dogs,dogs,Dogs,2,14,5,6,25,False,False,top_king_persona_subset,50
char__prince,prince,Prince,1,7,14,11,24,False,False,top_king_persona_subset,51
char__apothecary,apothecary,Apothecary,0,0,24,10,24,False,False,top_king_persona_subset,52
char__friend,friend,Friend,0,0,24,13,24,False,True,top_king_persona_subset,53
char__animal,animal,Animal,2,9,8,6,23,False,True,top_king_persona_subset,54
char__fight,fight,Fight,0,0,23,19,23,False,False,top_king_persona_subset,55
