character_id,episode_id,character_name,source_field
char__gardener_pulling_weeds,train_ep_001422,gardener pulling weeds,agents
char__king,train_ep_001422,king,agents
char__king,train_ep_001438,king,agents
char__princess,train_ep_001438,princess,agents
char__king,train_ep_001493,king,agents
char__servant,train_ep_001493,servant,agents
char__king,train_ep_001494,king,agents
char__officer,train_ep_001494,officer,agents
char__king,train_ep_001501,king,agents
char__servant,train_ep_001501,servant,agents
char__guard,train_ep_001679,guard,agents
char__king,train_ep_001679,king,agents
char__king,train_ep_001693,king,agents
char__townperson,train_ep_001693,townperson,agents
char__guest,train_ep_001695,guest,agents
char__king,train_ep_001695,king,agents
char__drunks,train_ep_001710,drunks,agents
char__king,train_ep_001710,king,agents
char__animal,train_ep_001731,animal,agents
char__king,train_ep_001731,king,agents
char__king,train_ep_001736,king,agents
char__servant,train_ep_001736,servant,agents
char__king,train_ep_001739,king,agents
char__people,train_ep_001739,people,agents
char__king,train_ep_001755,king,agents
char__merchant,train_ep_001755,merchant,agents
char__king,train_ep_001779,king,agents
char__subject,train_ep_001779,subject,agents
char__king,train_ep_001781,king,agents
char__person,train_ep_001781,person,agents
char__blacksmith,train_ep_001804,blacksmith,agents
char__king,train_ep_001804,king,agents
char__king,train_ep_001810,king,agents
char__queen,train_ep_001810,queen,agents
char__king,train_ep_001812,king,agents
char__maid,train_ep_001812,maid,agents
char__king,train_ep_001826,king,agents
char__priest,train_ep_001826,priest,agents
char__king,train_ep_001838,king,agents
char__noble,train_ep_001838,noble,agents
char__king,train_ep_001876,king,agents
char__visitor,train_ep_001876,visitor,agents
char__king,train_ep_002010,king,agents
char__queen,train_ep_002010,queen,agents
char__king,train_ep_002023,king,agents
char__princess,train_ep_002023,princess,agents
char__king,train_ep_002071,king,agents
char__servant,train_ep_002071,servant,agents
char__customer,train_ep_002073,customer,agents
char__king,train_ep_002073,king,agents
char__dragon,train_ep_002077,dragon,agents
char__king,train_ep_002077,king,agents
char__his_father,train_ep_002091,his father,agents
char__king,train_ep_002091,king,agents
char__king,train_ep_002242,king,agents
char__maid,train_ep_002242,maid,agents
char__guard,train_ep_002262,guard,agents
char__king,train_ep_002262,king,agents
char__king,train_ep_002265,king,agents
char__maid,train_ep_002265,maid,agents
char__king,train_ep_002266,king,agents
char__pheasant,train_ep_002266,pheasant,agents
char__king,train_ep_002267,king,agents
char__queen,train_ep_002267,queen,agents
char__king,train_ep_002273,king,agents
char__townperson,train_ep_002273,townperson,agents
char__king,train_ep_002275,king,agents
char__man,train_ep_002275,man,agents
char__guest,train_ep_002277,guest,agents
char__king,train_ep_002277,king,agents
char__guard,train_ep_002304,guard,agents
char__king,train_ep_002304,king,agents
char__king,train_ep_002312,king,agents
char__villager,train_ep_002312,villager,agents
char__king,train_ep_002317,king,agents
char__servant,train_ep_002317,servant,agents
char__king,train_ep_002351,king,agents
char__person,train_ep_002351,person,agents
char__king,train_ep_002369,king,agents
char__servant,train_ep_002369,servant,agents
char__customer,train_ep_002375,customer,agents
char__king,train_ep_002375,king,agents
char__king,train_ep_002383,king,agents
char__maid,train_ep_002383,maid,agents
char__king,train_ep_002386,king,agents
char__spider,train_ep_002386,spider,agents
char__king,train_ep_002405,king,agents
char__noble,train_ep_002405,noble,agents
char__king,train_ep_002410,king,agents
char__noble,train_ep_002410,noble,agents
char__king,train_ep_002447,king,agents
char__murderer,train_ep_002447,murderer,agents
char__king,train_ep_002531,king,agents
char__princess,train_ep_002531,princess,agents
char__king,train_ep_002579,king,agents
char__officer,train_ep_002579,officer,agents
char__brother,train_ep_002581,brother,agents
char__king,train_ep_002581,king,agents
char__dragon,train_ep_002586,dragon,agents
char__king,train_ep_002586,king,agents
char__fool,train_ep_002595,fool,agents
char__king,train_ep_002595,king,agents
char__king,train_ep_002790,king,agents
char__queen,train_ep_002790,queen,agents
char__king,train_ep_002805,king,agents
char__princess,train_ep_002805,princess,agents
char__king,train_ep_002865,king,agents
char__officer,train_ep_002865,officer,agents
char__king,train_ep_002872,king,agents
char__queen,train_ep_002872,queen,agents
char__brother,train_ep_003048,brother,agents
char__king,train_ep_003048,king,agents
char__king,train_ep_003071,king,agents
char__servant,train_ep_003071,servant,agents
char__king,train_ep_003073,king,agents
char__queen,train_ep_003073,queen,agents
char__king,train_ep_003080,king,agents
