character_id,utterance_id,episode_id,turn_index
char__king,utt__train_ep_001422__000,train_ep_001422,0
char__gardener_pulling_weeds,utt__train_ep_001422__001,train_ep_001422,1
char__king,utt__train_ep_001422__002,train_ep_001422,2
char__gardener_pulling_weeds,utt__train_ep_001422__003,train_ep_001422,3
char__king,utt__train_ep_001422__004,train_ep_001422,4
char__gardener_pulling_weeds,utt__train_ep_001422__005,train_ep_001422,5
char__king,utt__train_ep_001422__006,train_ep_001422,6
char__gardener_pulling_weeds,utt__train_ep_001422__007,train_ep_001422,7
char__king,utt__train_ep_001422__008,train_ep_001422,8
char__gardener_pulling_weeds,utt__train_ep_001422__009,train_ep_001422,9
char__king,utt__train_ep_001422__010,train_ep_001422,10
char__gardener_pulling_weeds,utt__train_ep_001422__011,train_ep_001422,11
char__king,utt__train_ep_001422__012,train_ep_001422,12
char__gardener_pulling_weeds,utt__train_ep_001422__013,train_ep_001422,13
char__princess,utt__train_ep_001438__000,train_ep_001438,0
char__king,utt__train_ep_001438__001,train_ep_001438,1
char__princess,utt__train_ep_001438__002,train_ep_001438,2
char__king,utt__train_ep_001438__003,train_ep_001438,3
char__princess,utt__train_ep_001438__004,train_ep_001438,4
char__king,utt__train_ep_001438__005,train_ep_001438,5
char__princess,utt__train_ep_001438__006,train_ep_001438,6
char__king,utt__train_ep_001438__007,train_ep_001438,7
char__princess,utt__train_ep_001438__008,train_ep_001438,8
char__king,utt__train_ep_001438__009,train_ep_001438,9
char__princess,utt__train_ep_001438__010,train_ep_001438,10
char__king,utt__train_ep_001438__011,train_ep_001438,11
char__princess,utt__train_ep_001438__012,train_ep_001438,12
char__king,utt__train_ep_001438__013,train_ep_001438,13
char__servant,utt__train_ep_001493__000,train_ep_001493,0
char__king,utt__train_ep_001493__001,train_ep_001493,1
char__servant,utt__train_ep_001493__002,train_ep_001493,2
char__king,utt__train_ep_001493__003,train_ep_001493,3
char__servant,utt__train_ep_001493__004,train_ep_001493,4
char__king,utt__train_ep_001493__005,train_ep_001493,5
char__servant,utt__train_ep_001493__006,train_ep_001493,6
char__king,utt__train_ep_001493__007,train_ep_001493,7
char__servant,utt__train_ep_001493__008,train_ep_001493,8
char__king,utt__train_ep_001493__009,train_ep_001493,9
char__servant,utt__train_ep_001493__010,train_ep_001493,10
char__king,utt__train_ep_001493__011,train_ep_001493,11
char__servant,utt__train_ep_001493__012,train_ep_001493,12
char__king,utt__train_ep_001493__013,train_ep_001493,13
char__officer,utt__train_ep_001494__000,train_ep_001494,0
char__king,utt__train_ep_001494__001,train_ep_001494,1
char__officer,utt__train_ep_001494__002,train_ep_001494,2
char__king,utt__train_ep_001494__003,train_ep_001494,3
char__officer,utt__train_ep_001494__004,train_ep_001494,4
char__king,utt__train_ep_001494__005,train_ep_001494,5
char__officer,utt__train_ep_001494__006,train_ep_001494,6
char__king,utt__train_ep_001494__007,train_ep_001494,7
char__officer,utt__train_ep_001494__008,train_ep_001494,8
char__king,utt__train_ep_001494__009,train_ep_001494,9
char__officer,utt__train_ep_001494__010,train_ep_001494,10
char__king,utt__train_ep_001494__011,train_ep_001494,11
char__officer,utt__train_ep_001494__012,train_ep_001494,12
char__king,utt__train_ep_001494__013,train_ep_001494,13
char__king,utt__train_ep_001501__000,train_ep_001501,0
char__servant,utt__train_ep_001501__001,train_ep_001501,1
char__king,utt__train_ep_001501__002,train_ep_001501,2
char__servant,utt__train_ep_001501__003,train_ep_001501,3
char__king,utt__train_ep_001501__004,train_ep_001501,4
char__servant,utt__train_ep_001501__005,train_ep_001501,5
char__king,utt__train_ep_001501__006,train_ep_001501,6
char__servant,utt__train_ep_001501__007,train_ep_001501,7
char__king,utt__train_ep_001501__008,train_ep_001501,8
char__servant,utt__train_ep_001501__009,train_ep_001501,9
char__king,utt__train_ep_001501__010,train_ep_001501,10
char__servant,utt__train_ep_001501__011,train_ep_001501,11
char__king,utt__train_ep_001501__012,train_ep_001501,12
char__servant,utt__train_ep_001501__013,train_ep_001501,13
char__guard,utt__train_ep_001679__000,train_ep_001679,0
char__king,utt__train_ep_001679__001,train_ep_001679,1
char__guard,utt__train_ep_001679__002,train_ep_001679,2
char__king,utt__train_ep_001679__003,train_ep_001679,3
char__guard,utt__train_ep_001679__004,train_ep_001679,4
char__king,utt__train_ep_001679__005,train_ep_001679,5
char__guard,utt__train_ep_001679__006,train_ep_001679,6
char__king,utt__train_ep_001679__007,train_ep_001679,7
char__guard,utt__train_ep_001679__008,train_ep_001679,8
