episode_id,object_id,object_name,object_count_in_episode
train_ep_001422,obj__fountain__79de7a61,fountain,14
train_ep_001422,obj__rose_bush__9f663235,rose bush,14
train_ep_001422,obj__tulip__0ae57c94,tulip,14
train_ep_001422,obj__intricate_labyrinth_made_of_shrubs__cf0382f7,intricate labyrinth made of shrubs,14
train_ep_001422,obj__bench__1d28d258,bench,14
train_ep_001422,obj__small_lake__1f398a97,small lake,14
train_ep_001422,obj__shrub__2f5bae73,shrub,14
train_ep_001438,obj__odd_and_end__46d0903f,odd and end,14
train_ep_001438,obj__lush_maroon_carpet__7a6b263e,lush maroon carpet,14
train_ep_001438,obj__tapestry__8873d146,tapestry,14
train_ep_001438,obj__map__1d78dc8e,map,14
train_ep_001438,obj__book__821f0328,book,14
train_ep_001438,obj__parchment__cc1681e6,parchment,14
train_ep_001493,obj__highly_fortified_tower__d6964cd0,highly fortified tower,14
train_ep_001494,obj__tree__c0af77cf,tree,14
train_ep_001494,obj__shrub__2f5bae73,shrub,14
train_ep_001494,obj__rainbow__cd13b6a6,rainbow,14
train_ep_001501,obj__stone__0a840ef4,stone,14
train_ep_001501,obj__fairy_lights__688fba7e,fairy lights,14
train_ep_001501,obj__moss__06a311b9,moss,14
train_ep_001812,obj__broom__5bfab488,broom,2
train_ep_001876,obj__peg__ac401416,peg,13
train_ep_001876,obj__dusty_floor__3b0bcf0c,dusty floor,14
train_ep_001876,obj__manical__8a653a0b,manical,6
train_ep_001876,obj__rusty_bar__905126ea,rusty bar,14
train_ep_002010,obj__rose_bush__9f663235,rose bush,14
train_ep_002010,obj__intricate_labyrinth_made_of_shrubs__cf0382f7,intricate labyrinth made of shrubs,14
train_ep_002010,obj__shrub__2f5bae73,shrub,14
train_ep_002010,obj__bench__1d28d258,bench,14
train_ep_002010,obj__fountain__79de7a61,fountain,14
train_ep_002010,obj__small_lake__1f398a97,small lake,14
train_ep_002023,obj__candle__ce23a732,candle,14
train_ep_002023,obj__map__1d78dc8e,map,14
train_ep_002023,obj__tapestry__8873d146,tapestry,14
train_ep_002023,obj__lush_maroon_carpet__7a6b263e,lush maroon carpet,14
train_ep_002023,obj__odd_and_end__46d0903f,odd and end,14
train_ep_002023,obj__parchment__cc1681e6,parchment,14
train_ep_002023,obj__book__821f0328,book,11
train_ep_002071,obj__highly_fortified_tower__d6964cd0,highly fortified tower,2
train_ep_002073,obj__wine__3f206bd2,wine,11
train_ep_002073,obj__market__c1c16452,market,11
train_ep_002073,obj__bar__37b51d19,bar,11
train_ep_002073,obj__tempior_market__261e7a56,tempior market,11
train_ep_002073,obj__shelf__1f650330,shelf,11
train_ep_002073,obj__stool__801f91a6,stool,11
train_ep_002073,obj__tavern__7e2c4fe3,tavern,11
train_ep_002077,obj__moss__06a311b9,moss,14
train_ep_002077,obj__stone__0a840ef4,stone,14
train_ep_002077,obj__tree__c0af77cf,tree,14
train_ep_002077,obj__fairy_lights__688fba7e,fairy lights,14
train_ep_002091,obj__bed__001cbc05,bed,14
train_ep_002091,obj__throne__253d405e,throne,14
train_ep_002091,obj__cover__41d0e299,cover,14
train_ep_002091,obj__suit_of_armor__66f246e8,suit of armor,14
train_ep_002091,obj__carving__99524e31,carving,14
train_ep_002242,obj__axe__c89ee4a2,axe,4
train_ep_002242,obj__mace__22213c39,mace,14
train_ep_002242,obj__shield__28c69b4c,shield,14
train_ep_002242,obj__chain__9951112f,chain,14
train_ep_002242,obj__crossbow__68ea5b5f,crossbow,9
train_ep_002242,obj__longbows__fd739c14,longbows,14
train_ep_002242,obj__bow__18222660,bow,14
train_ep_002242,obj__sword__f3b462d9,sword,14
train_ep_002242,obj__key__3c6e0b8a,key,14
train_ep_002242,obj__small_bucket__4269bdf5,small bucket,11
train_ep_002262,obj__sword__f3b462d9,sword,2
train_ep_002267,obj__dress__ccaaac95,dress,2
train_ep_002369,obj__small_bucket__4269bdf5,small bucket,11
train_ep_002386,obj__crown__408e69f6,crown,8
train_ep_002447,obj__peg__ac401416,peg,14
train_ep_002447,obj__rusty_bar__905126ea,rusty bar,14
train_ep_002447,obj__manical__8a653a0b,manical,14
train_ep_002531,obj__map__1d78dc8e,map,14
train_ep_002531,obj__artwork__431a210e,artwork,14
train_ep_002531,obj__tapestry__8873d146,tapestry,14
train_ep_002531,obj__lush_maroon_carpet__7a6b263e,lush maroon carpet,14
train_ep_002531,obj__odd_and_end__46d0903f,odd and end,14
train_ep_002531,obj__parchment__cc1681e6,parchment,14
train_ep_002531,obj__book__821f0328,book,14
train_ep_002579,obj__tree__c0af77cf,tree,14
train_ep_002579,obj__shrub__2f5bae73,shrub,14
train_ep_002579,obj__sun__ebd556e6,sun,14
train_ep_002581,obj__shelf__1f650330,shelf,14
train_ep_002581,obj__tempior_market__261e7a56,tempior market,14
train_ep_002581,obj__wine__3f206bd2,wine,4
train_ep_002581,obj__market__c1c16452,market,14
train_ep_002581,obj__bar__37b51d19,bar,14
train_ep_002581,obj__tavern__7e2c4fe3,tavern,14
train_ep_002586,obj__moss__06a311b9,moss,14
train_ep_002586,obj__fairy_lights__688fba7e,fairy lights,14
train_ep_002586,obj__tree__c0af77cf,tree,14
train_ep_002586,obj__stone__0a840ef4,stone,14
train_ep_002586,obj__flower__608f0b98,flower,10
train_ep_002586,obj__carcass__05692c36,carcass,1
train_ep_002595,obj__bed__001cbc05,bed,9
train_ep_002595,obj__cover__41d0e299,cover,9
train_ep_002595,obj__carving__99524e31,carving,9
train_ep_002595,obj__puppet__76874790,puppet,7
train_ep_002790,obj__fountain__79de7a61,fountain,14
train_ep_002790,obj__rose_bush__9f663235,rose bush,14
train_ep_002790,obj__tulip__0ae57c94,tulip,2
train_ep_002790,obj__intricate_labyrinth_made_of_shrubs__cf0382f7,intricate labyrinth made of shrubs,14
train_ep_002790,obj__bench__1d28d258,bench,14
train_ep_002790,obj__small_lake__1f398a97,small lake,14
train_ep_002790,obj__shrub__2f5bae73,shrub,14
train_ep_002805,obj__lush_maroon_carpet__7a6b263e,lush maroon carpet,14
train_ep_002805,obj__map__1d78dc8e,map,7
train_ep_002805,obj__odd_and_end__46d0903f,odd and end,14
train_ep_002805,obj__artwork__431a210e,artwork,14
train_ep_002805,obj__book__821f0328,book,14
train_ep_002805,obj__tapestry__8873d146,tapestry,14
train_ep_002805,obj__parchment__cc1681e6,parchment,14
train_ep_002805,obj__candle__ce23a732,candle,14
train_ep_002865,obj__tree__c0af77cf,tree,14
train_ep_002865,obj__shrub__2f5bae73,shrub,14
train_ep_002872,obj__moss__06a311b9,moss,14
train_ep_002872,obj__flower__608f0b98,flower,14
train_ep_002872,obj__stone__0a840ef4,stone,14
train_ep_002872,obj__fairy_lights__688fba7e,fairy lights,14
train_ep_003048,obj__key__3c6e0b8a,key,14
train_ep_003048,obj__mace__22213c39,mace,14
train_ep_003048,obj__bow__18222660,bow,8
train_ep_003048,obj__sword__f3b462d9,sword,12
train_ep_003048,obj__crossbow__68ea5b5f,crossbow,14
train_ep_003048,obj__chain__9951112f,chain,14
train_ep_003048,obj__axe__c89ee4a2,axe,9
train_ep_003048,obj__longbows__fd739c14,longbows,14
train_ep_003123,obj__duster__b88a4290,duster,2
train_ep_003178,obj__small_bucket__4269bdf5,small bucket,11
train_ep_003193,obj__broom__5bfab488,broom,1
train_ep_003208,obj__crown__408e69f6,crown,2
train_ep_003347,obj__lush_maroon_carpet__7a6b263e,lush maroon carpet,14
train_ep_003347,obj__map__1d78dc8e,map,14
train_ep_003347,obj__odd_and_end__46d0903f,odd and end,14
train_ep_003347,obj__artwork__431a210e,artwork,14
train_ep_003347,obj__book__821f0328,book,14
train_ep_003347,obj__tapestry__8873d146,tapestry,14
train_ep_003347,obj__parchment__cc1681e6,parchment,14
train_ep_003347,obj__candle__ce23a732,candle,14
train_ep_003404,obj__highly_fortified_tower__d6964cd0,highly fortified tower,14
train_ep_003404,obj__ornate_goblet__8f8d5ad5,ornate goblet,9
train_ep_003405,obj__sun__ebd556e6,sun,14
train_ep_003405,obj__shrub__2f5bae73,shrub,14
train_ep_003405,obj__rainbow__cd13b6a6,rainbow,14
train_ep_003405,obj__tree__c0af77cf,tree,14
train_ep_003412,obj__moss__06a311b9,moss,14
train_ep_003412,obj__tapestry__8873d146,tapestry,14
train_ep_003412,obj__plant__9ea0a36b,plant,14
train_ep_003412,obj__fairy_lights__688fba7e,fairy lights,14
train_ep_003412,obj__stone__0a840ef4,stone,14
train_ep_003424,obj__throne__253d405e,throne,14
