episode_id,character_id,persona_id,target_persona_agent_count_in_episode
train_ep_001422,char__king,persona__f9e1d9295997,1
train_ep_001438,char__king,persona__f9e1d9295997,1
train_ep_001493,char__king,persona__f9e1d9295997,1
train_ep_001494,char__king,persona__f9e1d9295997,1
train_ep_001501,char__king,persona__f9e1d9295997,1
train_ep_001679,char__king,persona__f9e1d9295997,1
train_ep_001693,char__king,persona__f9e1d9295997,1
train_ep_001695,char__king,persona__f9e1d9295997,1
train_ep_001710,char__king,persona__f9e1d9295997,1
train_ep_001731,char__king,persona__f9e1d9295997,1
train_ep_001736,char__king,persona__f9e1d9295997,1
train_ep_001739,char__king,persona__f9e1d9295997,1
train_ep_001755,char__king,persona__f9e1d9295997,1
train_ep_001779,char__king,persona__f9e1d9295997,1
train_ep_001781,char__king,persona__f9e1d9295997,1
train_ep_001804,char__king,persona__f9e1d9295997,1
train_ep_001810,char__king,persona__f9e1d9295997,1
train_ep_001812,char__king,persona__f9e1d9295997,1
train_ep_001826,char__king,persona__f9e1d9295997,1
train_ep_001838,char__king,persona__f9e1d9295997,1
train_ep_001876,char__king,persona__f9e1d9295997,1
train_ep_002010,char__king,persona__f9e1d9295997,1
train_ep_002023,char__king,persona__f9e1d9295997,1
train_ep_002071,char__king,persona__f9e1d9295997,1
train_ep_002073,char__king,persona__f9e1d9295997,1
train_ep_002077,char__king,persona__f9e1d9295997,1
train_ep_002091,char__king,persona__f9e1d9295997,1
train_ep_002242,char__king,persona__f9e1d9295997,1
train_ep_002262,char__king,persona__f9e1d9295997,1
train_ep_002265,char__king,persona__f9e1d9295997,1
train_ep_002266,char__king,persona__f9e1d9295997,1
train_ep_002267,char__king,persona__f9e1d9295997,1
train_ep_002273,char__king,persona__f9e1d9295997,1
train_ep_002275,char__king,persona__f9e1d9295997,1
train_ep_002277,char__king,persona__f9e1d9295997,1
train_ep_002304,char__king,persona__f9e1d9295997,1
train_ep_002312,char__king,persona__f9e1d9295997,1
train_ep_002317,char__king,persona__f9e1d9295997,1
train_ep_002351,char__king,persona__f9e1d9295997,1
train_ep_002369,char__king,persona__f9e1d9295997,1
train_ep_002375,char__king,persona__f9e1d9295997,1
train_ep_002383,char__king,persona__f9e1d9295997,1
train_ep_002386,char__king,persona__f9e1d9295997,1
train_ep_002405,char__king,persona__f9e1d9295997,1
train_ep_002410,char__king,persona__f9e1d9295997,1
train_ep_002447,char__king,persona__f9e1d9295997,1
train_ep_002531,char__king,persona__f9e1d9295997,1
train_ep_002579,char__king,persona__f9e1d9295997,1
train_ep_002581,char__king,persona__f9e1d9295997,1
train_ep_002586,char__king,persona__f9e1d9295997,1
train_ep_002595,char__king,persona__f9e1d9295997,1
train_ep_002790,char__king,persona__f9e1d9295997,1
train_ep_002805,char__king,persona__f9e1d9295997,1
train_ep_002865,char__king,persona__f9e1d9295997,1
train_ep_002872,char__king,persona__f9e1d9295997,1
train_ep_003048,char__king,persona__f9e1d9295997,1
train_ep_003071,char__king,persona__f9e1d9295997,1
train_ep_003073,char__king,persona__f9e1d9295997,1
train_ep_003080,char__king,persona__f9e1d9295997,1
train_ep_003082,char__king,persona__f9e1d9295997,1
train_ep_003084,char__king,persona__f9e1d9295997,1
train_ep_003111,char__king,persona__f9e1d9295997,1
train_ep_003118,char__king,persona__f9e1d9295997,1
train_ep_003123,char__king,persona__f9e1d9295997,1
train_ep_003141,char__king,persona__f9e1d9295997,1
train_ep_003160,char__king,persona__f9e1d9295997,1
train_ep_003165,char__king,persona__f9e1d9295997,1
train_ep_003178,char__king,persona__f9e1d9295997,1
train_ep_003184,char__king,persona__f9e1d9295997,1
train_ep_003193,char__king,persona__f9e1d9295997,1
train_ep_003195,char__king,persona__f9e1d9295997,1
train_ep_003200,char__king,persona__f9e1d9295997,1
train_ep_003208,char__king,persona__f9e1d9295997,1
train_ep_003219,char__king,persona__f9e1d9295997,1
train_ep_003347,char__king,persona__f9e1d9295997,1
train_ep_003404,char__king,persona__f9e1d9295997,1
train_ep_003405,char__king,persona__f9e1d9295997,1
train_ep_003412,char__king,persona__f9e1d9295997,1
train_ep_003424,char__king,persona__f9e1d9295997,1
train_ep_003530,char__king,persona__f9e1d9295997,1
train_ep_003532,char__king,persona__f9e1d9295997,1
train_ep_003581,char__king,persona__f9e1d9295997,1
train_ep_003604,char__king,persona__f9e1d9295997,1
train_ep_003605,char__king,persona__f9e1d9295997,1
train_ep_003607,char__king,persona__f9e1d9295997,1
train_ep_003613,char__king,persona__f9e1d9295997,1
train_ep_003616,char__king,persona__f9e1d9295997,1
train_ep_003630,char__king,persona__f9e1d9295997,1
train_ep_003643,char__king,persona__f9e1d9295997,1
train_ep_003694,char__king,persona__f9e1d9295997,1
train_ep_003699,char__king,persona__f9e1d9295997,1
train_ep_003706,char__king,persona__f9e1d9295997,1
train_ep_003709,char__king,persona__f9e1d9295997,1
train_ep_003718,char__king,persona__f9e1d9295997,1
train_ep_003723,char__king,persona__f9e1d9295997,1
train_ep_003738,char__king,persona__f9e1d9295997,1
train_ep_003807,char__king,persona__f9e1d9295997,1
train_ep_003895,char__king,persona__f9e1d9295997,1
train_ep_004048,char__king,persona__f9e1d9295997,1
train_ep_004068,char__king,persona__f9e1d9295997,1
train_ep_004080,char__king,persona__f9e1d9295997,1
train_ep_004084,char__king,persona__f9e1d9295997,1
train_ep_004098,char__king,persona__f9e1d9295997,1
train_ep_004111,char__king,persona__f9e1d9295997,1
train_ep_004120,char__king,persona__f9e1d9295997,1
train_ep_004124,char__king,persona__f9e1d9295997,1
train_ep_004145,char__king,persona__f9e1d9295997,1
train_ep_004163,char__king,persona__f9e1d9295997,1
train_ep_004190,char__king,persona__f9e1d9295997,1
train_ep_004200,char__king,persona__f9e1d9295997,1
train_ep_004202,char__king,persona__f9e1d9295997,1
train_ep_004208,char__king,persona__f9e1d9295997,1
train_ep_004228,char__king,persona__f9e1d9295997,1
train_ep_004268,char__king,persona__f9e1d9295997,1
train_ep_004414,char__king,persona__f9e1d9295997,1
train_ep_004421,char__king,persona__f9e1d9295997,1
train_ep_004434,char__king,persona__f9e1d9295997,1
train_ep_004539,char__king,persona__f9e1d9295997,1
train_ep_004584,char__king,persona__f9e1d9295997,1
train_ep_004601,char__king,persona__f9e1d9295997,1
train_ep_004608,char__king,persona__f9e1d9295997,1
train_ep_004615,char__king,persona__f9e1d9295997,1
train_ep_004617,char__king,persona__f9e1d9295997,1
train_ep_004637,char__king,persona__f9e1d9295997,1
train_ep_004652,char__king,persona__f9e1d9295997,1
train_ep_004686,char__king,persona__f9e1d9295997,1
train_ep_004688,char__king,persona__f9e1d9295997,1
train_ep_004845,char__king,persona__f9e1d9295997,1
train_ep_004924,char__king,persona__f9e1d9295997,1
train_ep_004927,char__king,persona__f9e1d9295997,1
train_ep_004934,char__king,persona__f9e1d9295997,1
train_ep_004936,char__king,persona__f9e1d9295997,1
train_ep_004938,char__king,persona__f9e1d9295997,1
train_ep_004953,char__king,persona__f9e1d9295997,1
train_ep_004966,char__king,persona__f9e1d9295997,1
train_ep_004979,char__king,persona__f9e1d9295997,1
train_ep_004982,char__king,persona__f9e1d9295997,1
train_ep_005001,char__king,persona__f9e1d9295997,1
train_ep_005024,char__king,persona__f9e1d9295997,1
train_ep_005026,char__king,persona__f9e1d9295997,1
train_ep_005050,char__king,persona__f9e1d9295997,1
train_ep_005060,char__king,persona__f9e1d9295997,1
train_ep_005062,char__king,persona__f9e1d9295997,1
train_ep_005066,char__king,persona__f9e1d9295997,1
