episode_id,location_id,location_name,location_category
train_ep_001422,loc__royal_gardens__e410d0fe,royal gardens,Outside Palace
train_ep_001438,loc__princess_library__7426d41f,princess' library,Inside Palace
train_ep_001493,loc__inside_the_king_s_castle__afab450e,inside the king's castle,Inside Tower
train_ep_001494,loc__across_the_king_s_garden__82bbf802,across the king's garden,Trail
train_ep_001501,loc__entrance_to_castle__6ce4a988,entrance to castle,Outside Castle
train_ep_001679,loc__castle_exit__5b525e0e,castle exit,Inside Castle
train_ep_001693,loc__apothecary__e264c143,apothecary,Town
train_ep_001695,loc__dining_hall__10c40af2,dining hall,Inside Castle
train_ep_001710,loc__bottlery__3ad26146,bottlery,Inside Castle
train_ep_001731,loc__countryside__9cff47d1,countryside,Countryside
train_ep_001736,loc__main_foyer__ed99a45c,main foyer,Inside Castle
train_ep_001739,loc__town_center__f942e8bf,town center,Town
train_ep_001755,loc__throne_room__f4977c99,throne room,Inside Tower
train_ep_001779,loc__tub__271721b2,tub,Inside Tower
train_ep_001781,loc__torture_equipment_storage_room__8c501a45,torture equipment storage room,Dungeon
train_ep_001804,loc__blacksmith__c2428781,blacksmith,Bazaar
train_ep_001810,loc__grand_balcony__41fccf30,grand balcony,Inside Palace
train_ep_001812,loc__kitchens__dfd09a86,kitchens,Inside Tower
train_ep_001826,loc__confessions_room__d87965d0,confessions room,Inside Church
train_ep_001838,loc__palace_entrance__fb45dbba,palace entrance,Inside Palace
train_ep_001876,loc__lower_dungeon_guard_room__f88d3041,lower dungeon guard room,Dungeon
train_ep_002010,loc__royal_gardens__e410d0fe,royal gardens,Outside Palace
train_ep_002023,loc__princess_library__7426d41f,princess' library,Inside Palace
train_ep_002071,loc__inside_the_king_s_castle__afab450e,inside the king's castle,Inside Tower
train_ep_002073,loc__market_center__f92392bc,market center,Tavern
train_ep_002077,loc__entrance_to_castle__6ce4a988,entrance to castle,Outside Castle
train_ep_002091,loc__king_s_quarters__b44e1648,king's quarters,Shore
train_ep_002242,loc__great_armory__8a3248e6,great armory,Inside Castle
train_ep_002262,loc__castle_exit__5b525e0e,castle exit,Inside Castle
train_ep_002265,loc__washroom__050b06a4,washroom,Inside Castle
train_ep_002266,loc__balcony__d85f7317,balcony,Inside Palace
train_ep_002267,loc__church_garden__56a741fe,church garden,Outside Church
train_ep_002273,loc__apothecary__e264c143,apothecary,Town
train_ep_002275,loc__main_castle_doors__e1f39f3b,main castle doors,Outside Palace
train_ep_002277,loc__dining_hall__10c40af2,dining hall,Inside Castle
train_ep_002304,loc__royal_bathroom__f7f11309,royal bathroom,Inside Castle
train_ep_002312,loc__countryside__9cff47d1,countryside,Countryside
train_ep_002317,loc__main_foyer__ed99a45c,main foyer,Inside Castle
train_ep_002351,loc__torture_equipment_storage_room__8c501a45,torture equipment storage room,Dungeon
train_ep_002369,loc__courtyard_exterior__9602be9c,courtyard exterior,Outside Palace
train_ep_002375,loc__blacksmith__c2428781,blacksmith,Bazaar
train_ep_002383,loc__kitchens__dfd09a86,kitchens,Inside Tower
train_ep_002386,loc__secret_tunnel__57b3c615,secret tunnel,Inside Castle
train_ep_002405,loc__garden_courtyard__2530f6d1,garden courtyard,Inside Castle
train_ep_002410,loc__palace_entrance__fb45dbba,palace entrance,Inside Palace
train_ep_002447,loc__lower_dungeon_guard_room__f88d3041,lower dungeon guard room,Dungeon
train_ep_002531,loc__princess_library__7426d41f,princess' library,Inside Palace
train_ep_002579,loc__across_the_king_s_garden__82bbf802,across the king's garden,Trail
train_ep_002581,loc__market_center__f92392bc,market center,Tavern
train_ep_002586,loc__entrance_to_castle__6ce4a988,entrance to castle,Outside Castle
train_ep_002595,loc__king_s_quarters__b44e1648,king's quarters,Shore
train_ep_002790,loc__royal_gardens__e410d0fe,royal gardens,Outside Palace
train_ep_002805,loc__princess_library__7426d41f,princess' library,Inside Palace
train_ep_002865,loc__across_the_king_s_garden__82bbf802,across the king's garden,Trail
train_ep_002872,loc__entrance_to_castle__6ce4a988,entrance to castle,Outside Castle
train_ep_003048,loc__great_armory__8a3248e6,great armory,Inside Castle
train_ep_003071,loc__washroom__050b06a4,washroom,Inside Castle
train_ep_003073,loc__balcony__d85f7317,balcony,Inside Palace
train_ep_003080,loc__apothecary__e264c143,apothecary,Town
train_ep_003082,loc__main_castle_doors__e1f39f3b,main castle doors,Outside Palace
train_ep_003084,loc__dining_hall__10c40af2,dining hall,Inside Castle
train_ep_003111,loc__royal_bathroom__f7f11309,royal bathroom,Inside Castle
train_ep_003118,loc__countryside__9cff47d1,countryside,Countryside
train_ep_003123,loc__main_foyer__ed99a45c,main foyer,Inside Castle
train_ep_003141,loc__throne_room__f4977c99,throne room,Inside Tower
train_ep_003160,loc__lavoratory__9cb21908,lavoratory,Inside Castle
train_ep_003165,loc__torture_equipment_storage_room__8c501a45,torture equipment storage room,Dungeon
train_ep_003178,loc__courtyard_exterior__9602be9c,courtyard exterior,Outside Palace
train_ep_003184,loc__blacksmith__c2428781,blacksmith,Bazaar
train_ep_003193,loc__kitchens__dfd09a86,kitchens,Inside Tower
train_ep_003195,loc__secret_tunnel__57b3c615,secret tunnel,Inside Castle
train_ep_003200,loc__grand_balcony__41fccf30,grand balcony,Inside Palace
train_ep_003208,loc__confessions_room__d87965d0,confessions room,Inside Church
train_ep_003219,loc__palace_entrance__fb45dbba,palace entrance,Inside Palace
train_ep_003347,loc__princess_library__7426d41f,princess' library,Inside Palace
train_ep_003404,loc__inside_the_king_s_castle__afab450e,inside the king's castle,Inside Tower
train_ep_003405,loc__across_the_king_s_garden__82bbf802,across the king's garden,Trail
train_ep_003412,loc__entrance_to_castle__6ce4a988,entrance to castle,Outside Castle
train_ep_003424,loc__king_s_quarters__b44e1648,king's quarters,Shore
train_ep_003530,loc__castle_kitchen__b00392de,castle kitchen,Inside Castle
train_ep_003532,loc__debtor_s_prison__ea99977f,debtor's prison,Inside Tower
train_ep_003581,loc__great_armory__8a3248e6,great armory,Inside Castle
train_ep_003604,loc__washroom__050b06a4,washroom,Inside Castle
train_ep_003605,loc__balcony__d85f7317,balcony,Inside Palace
train_ep_003607,loc__church_garden__56a741fe,church garden,Outside Church
train_ep_003613,loc__apothecary__e264c143,apothecary,Town
train_ep_003616,loc__dining_hall__10c40af2,dining hall,Inside Castle
train_ep_003630,loc__bottlery__3ad26146,bottlery,Inside Castle
train_ep_003643,loc__royal_bathroom__f7f11309,royal bathroom,Inside Castle
train_ep_003694,loc__torture_equipment_storage_room__8c501a45,torture equipment storage room,Dungeon
train_ep_003699,loc__basement__48719d32,basement,Inside Castle
train_ep_003706,loc__courtyard_exterior__9602be9c,courtyard exterior,Outside Palace
train_ep_003709,loc__blacksmith__c2428781,blacksmith,Bazaar
train_ep_003718,loc__kitchens__dfd09a86,kitchens,Inside Tower
train_ep_003723,loc__grand_balcony__41fccf30,grand balcony,Inside Palace
train_ep_003738,loc__garden_courtyard__2530f6d1,garden courtyard,Inside Castle
train_ep_003807,loc__royal_gardens__e410d0fe,royal gardens,Outside Palace
train_ep_003895,loc__king_s_quarters__b44e1648,king's quarters,Shore
