character_id,normalized_name,canonical_name,is_target_agent_name,is_generic_name,appearance_count,speaker_turn_count,mention_count,unique_episode_count,total_score,overall_rank_in_target_subset,source
char__king,king,King,True,False,332,2117,447,332,3560,1,top_king_persona_subset
char__queen,queen,Queen,False,False,44,281,143,101,556,2,top_king_persona_subset
char__servant,servant,Servant,False,True,33,188,53,45,340,3,top_king_persona_subset
char__maid,maid,Maid,False,False,17,112,30,24,193,4,top_king_persona_subset
char__guard,guard,Guard,False,True,15,96,52,36,193,5,top_king_persona_subset
char__knight,knight,Knight,False,False,13,90,33,20,162,6,top_king_persona_subset
char__people,people,People,False,True,3,16,109,65,134,7,top_king_persona_subset
char__brother,brother,Brother,False,False,10,70,33,21,133,8,top_king_persona_subset
char__townperson,townperson,Townperson,False,False,14,88,2,14,132,9,top_king_persona_subset
char__guest,guest,Guest,False,True,12,80,5,12,121,10,top_king_persona_subset
char__merchant,merchant,Merchant,False,False,9,63,20,15,110,11,top_king_persona_subset
char__person,person,Person,False,True,10,61,13,19,104,12,top_king_persona_subset
char__princess,princess,Princess,False,False,9,63,12,14,102,13,top_king_persona_subset
char__blacksmith,blacksmith,Blacksmith,False,False,8,51,24,17,99,14,top_king_persona_subset
char__lord,lord,Lord,False,True,0,0,97,46,97,15,top_king_persona_subset
char__man,man,Man,False,True,2,14,71,57,91,16,top_king_persona_subset
char__chef,chef,Chef,False,False,5,35,25,18,75,17,top_king_persona_subset
char__noble,noble,Noble,False,False,6,42,13,17,73,18,top_king_persona_subset
char__subject,subject,Subject,False,False,7,39,12,12,72,19,top_king_persona_subset
char__family,family,Family,False,True,0,0,72,45,72,20,top_king_persona_subset
char__royal,royal,Royal,False,False,0,0,72,55,72,21,top_king_persona_subset
char__father,father,Father,False,True,0,0,71,35,71,22,top_king_persona_subset
char__diplomat,diplomat,Diplomat,False,False,6,42,5,8,65,23,top_king_persona_subset
char__dragon,dragon,Dragon,False,False,3,19,32,13,60,24,top_king_persona_subset
char__guards,guards,Guards,False,False,0,0,60,44,60,25,top_king_persona_subset
char__officer,officer,Officer,False,False,6,38,3,6,59,26,top_king_persona_subset
char__spider,spider,Spider,False,False,5,35,9,6,59,27,top_king_persona_subset
char__enemy,enemy,Enemy,False,False,4,28,14,11,54,28,top_king_persona_subset
char__child,child,Child,False,True,3,18,27,19,54,29,top_king_persona_subset
char__kings,kings,Kings,False,False,6,30,4,9,52,30,top_king_persona_subset
char__thing,thing,Thing,False,False,0,0,48,46,48,31,top_king_persona_subset
char__murderer,murderer,Murderer,False,False,5,28,4,5,47,32,top_king_persona_subset
char__fool,fool,Fool,False,False,2,11,30,21,47,33,top_king_persona_subset
char__his_father,his father,His Father,False,False,4,28,3,6,43,34,top_king_persona_subset
char__royal_family,royal family,Royal Family,False,False,4,24,6,10,42,35,top_king_persona_subset
char__wife,wife,Wife,False,True,0,0,42,28,42,36,top_king_persona_subset
char__priest,priest,Priest,False,False,3,20,11,11,40,37,top_king_persona_subset
char__son,son,Son,False,False,0,0,39,26,39,38,top_king_persona_subset
char__rabbit,rabbit,Rabbit,False,False,2,14,17,4,37,39,top_king_persona_subset
char__visitor,visitor,Visitor,False,True,3,21,4,4,34,40,top_king_persona_subset
char__thief,thief,Thief,False,False,3,9,16,8,34,41,top_king_persona_subset
char__battle,battle,Battle,False,False,0,0,34,24,34,42,top_king_persona_subset
char__prisoner,prisoner,Prisoner,False,False,4,15,5,9,32,43,top_king_persona_subset
char__mother,mother,Mother,False,True,0,0,32,16,32,44,top_king_persona_subset
char__debtor,debtor,Debtor,False,False,3,21,1,3,31,45,top_king_persona_subset
char__pheasant,pheasant,Pheasant,False,False,2,12,11,5,29,46,top_king_persona_subset
char__customer,customer,Customer,False,False,3,18,1,3,28,47,top_king_persona_subset
char__priests,priests,Priests,False,False,3,18,1,4,28,48,top_king_persona_subset
char__villager,villager,Villager,False,True,2,14,6,4,26,49,top_king_persona_subset
char__dogs,dogs,Dogs,False,False,2,14,5,6,25,50,top_king_persona_subset
char__prince,prince,Prince,False,False,1,7,14,11,24,51,top_king_persona_subset
char__apothecary,apothecary,Apothecary,False,False,0,0,24,10,24,52,top_king_persona_subset
char__friend,friend,Friend,False,True,0,0,24,13,24,53,top_king_persona_subset
char__animal,animal,Animal,False,True,2,9,8,6,23,54,top_king_persona_subset
