basDt,crno,sbrdEnpNm,sbrdEnpEstbDt,sbrdEnpadr,sbrdEnpMainBizCtt,dntRltBsisCtt,mainSbrdEnpYnCtt,sbrdEnpLtstEbzyrTastAmt
20260715,1101110008262,-,,-,-,-,-,0
20260715,1243110035801,Eleison Phamaceuticals Inc. ,2008,100 Overlook Center&amp;cr;2nd Floor&amp;cr;Princeton NJ 08540,제약/바이오,지분율 37.5%,미해당,0
20260715,1243110035801,㈜에스와이일렉트로닉스,2018,경기도 과천시,전기부품 제조업,지분율 41%,미해당,0
20260715,1845110014990,(주)레몬과 그 종속기업,20121001,경북 구미시 산동읍 산호대로 1105-65,전자파차폐소재 제조,사실상 지배력,O,25588
20260715,1845110014990,(주)대한테크,20120701,충남 아산시 음봉면 아산밸리로459번길 35,기계설비 조립 및 설치,의결권의 과반수 소유(K-IFRS 1110호),O,3757
20260715,1845110014990,TOPTEC HU Company Limited.,20200128,1011 Budapest Bem rakpart 23,기계설비 조립 및 설치,의결권의 과반수 소유(K-IFRS 1110호),O,3038
20260715,1845110014990,TOPTEC USA INC.,20211116,477 Starbuck Parkway Pendergrass GA 30567,기계설비 조립 및 설치,의결권의 과반수 소유(K-IFRS 1110호),O,5753
20260715,2801110073830,남경 고일지 광전&amp;cr;유한공사,200729,NO.219 New Industrial Park B B/D Peace Community&amp;cr; Jiangjun Road Jiangning Economy&amp;Technology Devlopment Zone&amp;cr; Nanjing City (Molning Street) Jiangsu China,LCD 패널용 필름&amp;cr;도광판 제조 및 판매,지분율 50% 초과&amp;cr;(지분율 100%),해당없음,60462
20260715,2801110073830,(주)코이즈에이씨티,201881,울산광역시 울주군 언양읍 반천산업로,금속가공&amp;cr;자동차 부품 제조업,지분율 50% 초과&amp;cr;(지분율 100%),해당없음,195430
20260715,2801110073830,(주)코이즈첨단소재,2018912,경기도 군포시 엘에스로,전자 유기재료의 개발 제조 및 판매,지분율 50% 초과&amp;cr;(지분율 100%),해당없음,660328
20260716,1101111906887,(주) 인포와이즈,20020404,서울 영등포구 당산로 41길 11&amp;cr;W동 7층 705호706호,소프트웨어 자문&amp;cr;개발 및 공급업,지분율 65.45%,미해당,1671745
20260716,1101113802992,주식회사 홈쎄라,20150108,경기도 용인시 수지구 신수로 767 6층 613호(동천동 분당수지유타워),미용기기 제조 및 판매업,의결권의 과반수 이상 소유&amp;cr;지분율 98.55%,해당,4735
20260716,1101113802992,주식회사 하이로닉코리아,20160406,경기도 용인시 기흥구 동백중앙로 191 8층 제이812호(중동 씨티프라자),의료기기 및 미용기기 도소매업,의결권의 과반수 이상 소유&amp;cr;지분율 100.00%,해당,3710
20260716,1101113802992,Hironic Japan Co. Ltd.,20250401,도쿄도 지요다구 이이다바시 잇쵸메 5번 8호 악산빌딩 5층,의료기기 및 미용기기 제조 및 판매업,의결권 과반수 이상 소유,해당,429
20260716,1101115758333,ONCOCROSS Australia Pty Ltd.,20210601,호주,임상 및 연구개발,지분율 100%&amp;cr; (기업회계기준서 제1110호),해당,713
20260716,1101118376893,-,,-,-,-,-,0
20260716,1101118376893,-,,-,-,-,-,0
20260716,1101118376893,-,,-,-,-,-,0
20260716,1201110592924,Daewoo Development (HK)&amp;cr;Co. Limited (*1),20120906,ROOM 603 6F HANG PNT COMMERCIAL BUILDING 31 TONKINSTREET&amp;cr; CHEUNG SHA WAN KOWLOON HONGKONG,부동산개발&amp;cr;무역 외,지분 50%초과보유&amp;cr;(지분율: 100%),해당,0
20260716,1201110592924,대우자산개발주식회사 (*2),20250609,서울시 중구 세종대로 17 12층,토목건축공사업 등,지분 50%초과보유&amp;cr;(지분율: 100%),해당,50
20260716,1801110028026,(주)서륭,19870101,서울시 성동구 아차산로 67-16 2층&amp;cr;B102호 301호,섬유 및 합성수지 제조판매,의결권의 과반수 소유,해당없음,286
20260716,1801110028026,엘엔에스ESG일반사모투자신탁 제60호,20241030,-,금융투자업,의결권의 과반수 소유,해당없음,9344
20260721,1101113580390,FNC ENTERTAINMENT JAPAN Inc.,2011224,FNC ENTERTAINMENT JAPAN INC. FNC Bldg.&amp;cr;3-22-10 Nishi-Azabu Minato-ku Tokyo&amp;cr;106-0031 Japan,음반 및 공연기획,의결권의 과반수 소유&amp;cr;(기업회계기준서 1110호),해당(*1),27785
20260721,1101113580390,㈜에프엔씨스토리,201853,서울시 마포구 양화로 81 5층 510호&amp;cr;(서교동 패스트파이브),콘텐츠의 기획 제작 및 투자 등 ,의결권의 과반수 소유&amp;cr;(기업회계기준서 1110호),해당없음,9803
