"crno","corpNm","corpEnsnNm","enpPbanCmpyNm","enpRprFnm","corpRegMrktDcd","corpRegMrktDcdNm","corpDcd","corpDcdNm","bzno","enpOzpno","enpBsadr","enpDtadr","enpHmpgUrl","enpTlno","enpFxno","sicNm","enpEstbDt","enpStacMm","enpXchgLstgDt","enpXchgLstgAbolDt","enpKosdaqLstgDt","enpKosdaqLstgAbolDt","enpKrxLstgDt","enpKrxLstgAbolDt","smenpYn","enpMntrBnkNm","enpEmpeCnt","empeAvgCnwkTermCtt","enpPn1AvgSlryAmt","actnAudpnNm","audtRptOpnnCtt","enpMainBizNm","fssCorpUnqNo","fssCorpChgDtm","fstOpegDt","lastOpegDt"
"0000000000000","SAMPO FUND MANAGEMENT LTD/MANDATUM EMERGING","SAMPO FUND MANAGEMENT LTD/MANDATUM EMERGING","SAMPOFUNDMANAGEMENTLTD/MANDATUMEMERGING","KIMMO LAAKSONEN","E","기타","","","","110762","서울특별시 종로구 신문로2가 시티빌딩","","","0220041331","0220041987","","19990901","12","","","","","","","","","0","","0","","","","00507691","2017/06/30","20200509","20260914"
"0000000000000","ARMOR QUALIFIED, LP","ARMOR QUALIFIED, LP","ARMORQUALIFIED,LP","KRISTINE GUARNERI","E","기타","","","","100180","서울특별시 중구 다동39번지","","","212-808-3721","","","20060120","12","","","","","","","","","0","","0","","","","00695437","2017/06/30","20200509","20260914"
"0000000000000","리만 브라더스","LEHMAN BROTHERS INC","리만브라더스","RICHARD S.FUND,JR.","E","기타","","","","","745 Seventh Avenue New York, NY 10019","","www.lehman.com","1-212-526-7000","1-212-526-7000","","19650121","12","","","","","","","","","0","","0","","","","00638043","2017/06/30","20200509","20260914"
"0000000000000","Citigroup Financial Products Inc.","Citigroup Financial Products Inc.","CitigroupFinancialProductsInc.","Robert Druskin","E","기타","","","","100180","서울특별시 중구 다동","","n/a","212-816-5605","212-816-5606","","19840706","12","","","","","","","","","0","","0","","","","00646343","2017/06/30","20200509","20260914"
"0000000000000","FIREBIRD GLOBAL MASTER FUND, LTD","FIREBIRD GLOBAL MASTER FUND, LTD","FIREBIRDGLOBALMASTERFUND,LTD","JAMES PASSIN","E","기타","","","","110762","서울특별시 종로구 신문로2가 시티빌딩","","","0220041331","0220041987","","20030508","12","","","","","","","","","0","","0","","","","00507725","2017/06/30","20200509","20260914"
"0000000000000","HAGSTROMER & QVIBERG FONDKOMMISSION AKTIEBOLAG","HAGSTROMER & QVIBERG FONDKOMMISSION AKTIEBOLAG","HAGSTROMER&QVIBERGFONDKOMMISSIONAKTIEBOLAG","PATRIK INBLAD","E","기타","","","","110762","서울특별시 종로구 신문로2가 시티빌딩 4층 증권관리부","","","02-2004-1223","02-2004-1987","","19900511","12","","","","","","","","","0","","0","","","","00517272","2017/06/30","20200509","20260914"
"0000000000000","HAGSTROMER AND QVIBERG FONDKOMMISSION AKTIEBOLAG-CUSTOMER SEGREGATED AC","HAGSTROMER AND QVIBERG FONDKOMMISSION AKTIEBOLAG-CUSTOMER SEGREGATED AC","HAGSTROMERANDQVIBERGFONDKOMMISSIONAKTIEBOLAG-CUSTOMERSEGREGATEDAC","MIKAEL KONIG","E","기타","","","","","10371 STOCKHOLM SWEDEN","","www.hq.se","4686961700","4686961701","","19900511","12","","","","","","","","","0","","0","","","","00643160","2017/06/30","20200509","20260914"
"0000000000000","INTERNATIONAL TRADING. CO","INTERNATIONAL TRADING CORPORATION","INTERNATIONALTRADING.CO","MASAHIRO MIKI","E","기타","","","","","1-11-5 jinnan shibuya-ku tokyo japan","","","81-3-3476-5650","","","19850606","03","","","","","","","","","0","","0","","","","00270265","2017/06/30","20200509","20260914"
"0000000000000","자프코 아시아 테크놀러지 펀드 3","JAFCO ASIA TECHNOLOGY FUND III","자프코아시아테크놀러지펀드3","CHEW CHENG KEAT","E","기타","","","","","WALKERS SPV LTD, WALKER HOUSE 87 MARY STREET GEORGE TOWN GRAND CAYMAN KY1-9002 CAYMAN ISLAND","","","65-62289-376","65-62231-239","","20051013","12","","","","","","","","","0","","0","","","","00772259","2017/06/30","20200509","20260914"
"0000000000000","헝셩그룹유한회사","HENG SHENG HOLDING GROUP COMPANY LIMITED","헝셩그룹","후이만킷","A","코스닥","","","","","ROOM 6, 3F., Lladro Centre, 72-80 Hoi Yuen Road, Kwun Tong, Kowloon, Hong Kong","","www.hengsheng.co.kr/","02-2125-5058","8659585225118","","19951114","12","","","16/08/18","","","","","","0","","0","","","","01160512","2022/11/07","20221107","20260914"
"0000000000000","헝셩그룹유한회사","HENG SHENG HOLDING GROUP COMPANY LIMITED","헝셩그룹","후이만킷","A","코스닥","","","","","ROOM 6, 3F., Lladro Centre, 72-80 Hoi Yuen Road, Kwun Tong, Kowloon, Hong Kong","ROOM 6, 3F., Lladro Centre, 72-80 Hoi Yuen Road, Kwun Tong, Kowloon, Hong Kong","www.hengsheng.co.kr/","02-2125-5058","8659585225118","","19951114","12","","","16/08/18","","","","","","0","","0","","","","01160512","2022/11/07","20260101","20260101"
"0000000000000","SAMPO FUND MANAGEMENT LTD/MANDATUM EMERGING","SAMPO FUND MANAGEMENT LTD/MANDATUM EMERGING","SAMPOFUNDMANAGEMENTLTD/MANDATUMEMERGING","KIMMO LAAKSONEN","E","기타","","","","110762","서울특별시 종로구 신문로2가 시티빌딩","서울특별시 종로구 신문로2가 시티빌딩","","0220041331","0220041987","","19990901","12","","","","","","","","","0","","0","","","","00507691","2017/06/30","20260101","20260101"
