crno,corpNm,corpEnsnNm,enpPbanCmpyNm,enpRprFnm,corpRegMrktDcd,corpRegMrktDcdNm,corpDcd,corpDcdNm,bzno,enpOzpno,enpBsadr,enpDtadr,enpHmpgUrl,enpTlno,enpFxno,sicNm,enpEstbDt,enpStacMm,enpXchgLstgDt,enpXchgLstgAbolDt,enpKosdaqLstgDt,enpKosdaqLstgAbolDt,enpKrxLstgDt,enpKrxLstgAbolDt,smenpYn,enpMntrBnkNm,enpEmpeCnt,empeAvgCnwkTermCtt,enpPn1AvgSlryAmt,actnAudpnNm,audtRptOpnnCtt,enpMainBizNm,fssCorpUnqNo,fssCorpChgDtm,fstOpegDt,lastOpegDt
1101110705322,PCA 생명보험주식회사,PCA Life Insurance Co. Ltd,PCA생명보험,하만덕,E,기타,,,2118158436,07330,"서울특별시 영등포구 국제금융로 56 (여의도동, 대우증권빌딩 9층)",,www.pcakorea.co.kr,02-6960-1471,02-6960-1831,,19900618,12,,,,,,,,,0,,0,,,,00141352,2018/03/09,20200509,20260914
1101110705322,PCA 생명보험주식회사,PCA Life Insurance Co. Ltd,PCA생명보험,하만덕,E,기타,,,2118158436,07330,"서울특별시 영등포구 국제금융로 56 (여의도동, 대우증권빌딩 9층)","서울특별시 영등포구 국제금융로 56 (여의도동, 대우증권빌딩 9층)",www.pcakorea.co.kr,02-6960-1471,02-6960-1831,,19900618,12,,,,,,,,,0,,0,,,,00141352,2018/03/09,20260101,20260101
1101110705331,이수기공(주),ISU ENGINEERING CO.,,장호성,,,,,1268117710,17723,경기 평택시 도일동,890-12  씨동디동,,82-02-2108-2480,02-2108-2484,,19900711,,,,,,,,,,0,,0,,,,,,20200517,20200517
1101110705381,주식회사 이피엘,"EPL Co., Ltd",이피엘,이혁희,E,기타,,,1098124889,46228,부산광역시 금정구 두실로 37 (구서동),,,051-912-6661,051-912-6662,,19900702,12,,,,,,,,,0,,0,,,,01567955,2022/02/28,20210517,20260914
1101110705381,주식회사 이피엘,"EPL Co., Ltd",이피엘,이혁희,E,기타,,,1098124889,46228,부산광역시 금정구 두실로 37 (구서동),부산광역시 금정구 두실로 37 (구서동),,051-912-6661,051-912-6662,,19900702,12,,,,,,,,,0,,0,,,,01567955,2022/02/28,20260101,20260101
1101110705381,청우에이스(주),CHONGWOO ACE,,이혁희,,,,,1098124889,48059,부산광역시 해운대구 센텀중앙로 90,"2403호 (재송동,큐비이센텀)",,82-051-912-6661,051-912-6662,,19900618,,,,,,,,,,24,,0,,,,,,20200517,20200517
1101110705464,진일엔지니어링(주),JINIL,,김성수,,,,,1068140764,10257,경기도 고양시 일산동구 장진천길 30-67,(설문동),,82-031-975-3307,031-975-3379,,19900619,,,,,,,,,,5,,0,,,,,,20200517,20200517
1101110705503,(주)다보금속,dabometal,다보금속,김태진,E,기타,,,1138119615,21075,"인천광역시 계양구 서운산업로 51 (서운동, 다보빌딩)",,,032-678-9940,032-678-9943,,19900103,12,,,,,,,,,0,,0,,,,00674595,2023/05/02,20230502,20260914
1101110705503,(주)다보금속,dabometal,다보금속,김태진,E,기타,,,1138119615,21075,"인천광역시 계양구 서운산업로 51 (서운동, 다보빌딩)","인천광역시 계양구 서운산업로 51 (서운동, 다보빌딩)",,032-678-9940,032-678-9943,,19900103,12,,,,,,,,,0,,0,,,,00674595,2023/05/02,20260101,20260101
1101110705503,(주)다보금속,DABO METAL CO,,김태진,,,,,1138119615,21075,인천광역시  계양구  서운산업로  51,(서운동),,82-032-556-2266,032-556-8328,1차 금속제품 도매업,19900103,,,,,,,,,,8,,0,,,,,,20251008,20251014
1101110705503,(주)다보금속,-,다보금속,김태진,E,기타,,,1138119615,407070,인천광역시 계양구 서운동 149-39,,,032-678-9940,032-678-9943,,19900103,12,,,,,,,,,0,,0,,,,00674595,2017/06/30,20200509,20230501
1101110705514,대흥투자개발(주),DAEHEONG DHT .,,이영삼,,,,,2128118908,06572,서울 서초구 방배동,853-23번지1층,,82-02-588-0766,02-871-4407,,19910213,,,,,,,,,,0,,0,,,,,,20200517,20200517
1101110705522,이조해운주식회사,"ijo shipping co., ltd",이조해운,이학수,E,기타,,,2208106102,135080,서울특별시 강남구 역삼동 831-30 이조빌딩,,,02-569-6606,02-563-0830,,19900619,12,,,,,,,,,0,,0,,,,00246480,2017/06/30,20200509,20260914
1101110705522,이조해운주식회사,"ijo shipping co., ltd",이조해운,이학수,E,기타,,,2208106102,135080,서울특별시 강남구 역삼동 831-30 이조빌딩,서울특별시 강남구 역삼동 831-30 이조빌딩,,02-569-6606,02-563-0830,,19900619,12,,,,,,,,,0,,0,,,,00246480,2017/06/30,20260101,20260101
1101110705529,이조해운(주),,,,,,,,,,"서울특별시 강남구 역삼로3길 17-6 이조빌딩 302호 (역삼동, 이조빌딩)","이조빌딩 302호 (역삼동, 이조빌딩)",,,,,,,,,,,,,,,0,,0,,,,,,20250319,20260914
1101110705529,이조해운(주),,,,,,,,,,서울특별시 강남구,"역삼로3길 17-6 (이조빌딩 302호 (역삼동, 이조빌딩))",,,,,,,,,,,,,,,0,,0,,,,,,20200509,20250318
1101110705555,터치라인,TOUCH LINE,,황성수,,,,,2168103805,02147,서울 중랑구 면목동,148-31,,82-02-432-9923,02-432-1055,,,,,,,,,,,,0,,0,,,,,,20200517,20200517
1101110705587,새한비철금속(주),SAEHAN BICHUL,,이웅남,,,,,1198109401,08582,서울 금천구 독산1동,998-7  새한비철금속(주),,82-02-804-1771,02-803-4818,,19900701,,,,,,,,,,5,,0,,,,,,20200517,20200517
1101110705597,코리아안전기업(주),LORA SAFTY HOUSING CONTROL CO,,김명진,,,,,2078132951,04787,서울특별시  성동구  연무장17길  14,"502호  (성수2가3동,대군인더스타운)",,82-02-467-9553,02-468-3382,,19900619,,,,,,,,,,30,,0,,,,,,20200517,20200517
1101110705638,(주)한일시스템엔지니어링,HANIL@HANILSYS.COM,,이병진,,,,,1138127207,08301,서울특별시 구로구 가마산로23길 10,10층 (구로동),,82-02-867-0048,02-859-5807,,19900618,,,,,,,,,,60,,0,,,,,,20200517,20200517
1101110705646,주식회사태원,"taewon co.,ltd.",태원,최윤진,E,기타,,,1338124790,150103,서울특별시 영등포구 양평동3가 15-1 월드메르디앙비즈센터 1103호,,,02-785-2417,02-785-2419,,19900701,12,,,,,,,,,0,,0,,,,00613080,2023/02/23,20200509,20260914
