"basDt","crno","sbrdEnpNm","sbrdEnpEstbDt","sbrdEnpadr","sbrdEnpMainBizCtt","dntRltBsisCtt","mainSbrdEnpYnCtt","sbrdEnpLtstEbzyrTastAmt"
"20110331","1101110305858","AAC","920713","미국","통신기기 판매","실질적지배력","종속회사","5454"
"20110331","1101110305858","D-Ace","020530","중국 동관","통신기기 제조","실질적지배력","종속회사","28566"
"20110331","1101110305858","G-Ace","000630","중국 가오야오","통신기기 제조 및 임가공","실질적지배력","종속회사","29494"
"20110331","1101110305858","Shin Ah Ltd.","991222","홍콩","Holding Company","실질적지배력","종속회사","68449"
"20110331","1101110305858","모비텍","100301","대한민국 서울","통신기기 제조","실질적지배력","종속회사","13863"
"20110331","1101110403256","-","","-","-","-","-","0"
"20110331","1101110403256","-","","-","-","-","-","0"
"20110331","1101110403256","-","","-","-","-","-","0"
"20110331","1101110712350","코오롱베니트(주)","1999111","경기도 과천시 별양동 1-23 ","IT아웃소싱 컨설팅 환경서비스 보안 기업솔루션 ","외감법시행령제1조의3제1항제2호 ","지배회사에 미치는 영향이 크다고 판단하는 종속회사 ","25155"
"20110331","1101110712350","코오롱웰케어(주)","200417","경기도 과천시 별양동 1-23 ","드럭스토어 프랜차이즈 ","외감법시행령제1조의3제1항제1호 ","지배회사에 미치는 영향이 크다고 판단하는 종속회사 ","7359"
"20110331","1101110728381","(주)피에스티","19990518","경기도 이천시 마장면 이평리 451-2","반도체 제조용 기계 제조업 ","지분율(49.77)","여","16429"
"20110331","1101110728381","(주) 엘케이엔씨","20071228","경기 여주군 여주읍 연라리 283-3 ","기타 금융지원 서비스업 ","지분율(100%)","여","20808"
"20110331","1101111250648","주식회사 태주","19780908","경상남도 창원시 성산구 성주동 48-5","주물부품제조","보유지분 84.08%","해당","40873930"
"20110331","1101111250648","주식회사 글로벌리더리소스","20090601","경기도 성남시 분당구 서현동 255-1 &amp;cr;풍림아이원 플러스 D-1602","자원개발업 및 &amp;cr;낙뢰보호시스템 외","보유지분 100.00%","-","10395162"
"20110331","1101111552812","쿠도커뮤니케이션","20001001","서울 서초구 서초동 1467-80 아리랑타워 10층","소포트웨어 및 하드웨어개발수출입업위성방송장비등","최대주주 &amp;cr;43.08%","종속회사","12576"
"20110331","1101113927427","하이스코트(주)","19931008","충청남도 천안시 동남구 목천읍 &amp;cr;소사리 216-2","외국산 주류의 &amp;cr;수입판매업 등","외감법 시행령&amp;cr;제1조의 3","직전연도 자산총액이 500억 이상인 &amp;cr;종속회사","51118015008"
"20110406","1101111320459","(주)에스엘이앤티","20021108","서울시 강남구 삼성동 157-8","사업경영및 관리 투자 자문","지분율 100%","직전연도 자산총액이 지배회사 자산총액의 10% 이상인 종속회사","10439"
"20110506","1101113801530","(주)에이치케이리미트","20040601","서울 송파구 잠실동","부동산개발업","한국채택국제회계기준 제 1027호","지배회사 자산총액의 10%이상","2172053325"
"20110928","1101110090350","(주)제일Ⅱ&amp;cr;저축은행","19710913","서울시 종로구&amp;cr; 창신동 562","저축은행","기업의결권의 &amp;cr;과반수 이상 소유&amp;cr;(기업회계기준서&amp;cr;1027호 13)","해당","1089820"
"20120330","1101111180514","미리넷솔라(주)","20051227","대구광역시&amp;cr;달서구","태양전지 및&amp;cr;응용제품생산업","외감법시행령제1조의3제1항제1호","○","182805"
"20120330","1101111180514","미리넷실리콘(주)","20080407","경기도&amp;cr;파주시","태양전지용 실리콘 등 제조 판매업","외감법시행령제1조의3제1항제1호","○","12809"
