basDt,crno,sbrdEnpNm,sbrdEnpEstbDt,sbrdEnpadr,sbrdEnpMainBizCtt,dntRltBsisCtt,mainSbrdEnpYnCtt,sbrdEnpLtstEbzyrTastAmt
20260318,1101110015639,GYOZA KEIKAKU CO. LTD.,199909,105-0003 Tokyo Minato City Nishishinbashi 2 Chome-7-4 CJ building 8F,식료품 제조 및 판매업,의결권의 과반수소유(회계기준서 1110호),-,19679
20260318,1101110015639,CJ FOODS ASIA HOLDINGS LIMITED,202004,Suite 3003 30/F Central Plaza 18 Harbour Road Wanchai Hong Kong,지주업,의결권의 과반수소유(회계기준서 1110호),해당,275867
20260318,1101110015639,CJ FOODS USA INC.,202008,4 Centerpointe Dr. Suite 100 La Palma CA 90623,지주업,의결권의 과반수소유(회계기준서 1110호),-,0
20260318,1101110015639,LOC TAN INVESTMENT COMPANY LIMITED,202010,VILLAGE 4 LOC TAN WARD ho chi minh vietnam,식료품 제조 및 판매업,의결권의 과반수소유(회계기준서 1110호),-,248
20260318,1101110015639,PT CHEIL JEDANG BIO INDONESIA,202107,Menara BP Jamsostek 21 floor Jl. Jend. Gatot Subroto Kav. 38 Jakarta Selatan,식품 및 사료첨가제 도매 유통업,의결권의 과반수소유(회계기준서 1110호),-,7038
20260318,1101110015639,EZBIOME INC.,201002,Suite 250 704 Quince Orchard Road Gaithersburg Maryland 20878 USA,생명공학 연구개발업,의결권의 과반수소유(회계기준서 1110호),-,600
20260318,1101110015639,BATAVIA BIOSCIENCES B.V.,201001,Zernikedreef 16 2333 CL Leiden The Netherlands,생명공학 연구개발 및 제조업,의결권의 과반수소유(회계기준서 1110호),해당,250814
20260318,1101110015639,BATAVIA HOLDINGS INC.,201001,300 Trade Center Suite 6650 Woburn Massachusetts 01801 USA,생명공학 연구개발 및 제조업,의결권의 과반수소유(회계기준서 1110호),-,2724
20260318,1101110015639,BATAVIA BIOSCIENCES INC.,201001,300 Trade Center Suite 6650 Woburn Massachusetts 01801 USA,생명공학 연구개발 및 제조업,의결권의 과반수소유(회계기준서 1110호),-,4323
20260318,1101110015639,SCHWAN'S COMPANY (*1),200209,115 West College Drive Marshall MN 56258,식품판매유통업,의결권의 과반수소유(회계기준서 1110호),해당,6174993
20260318,1101110015639,CJ FOODS SALES UK LTD,202205,13 Approach Road London SW20 8BA,식품판매유통업,의결권의 과반수소유(회계기준서 1110호),-,7929
20260318,1101110015639,PT CHEILJEDANG BIOMATERIALS INDONESIA,202211,BPJAMSOSTEK TOWER BUILDING. JL. GATOT SUBROTO-CITY ADM. South JAKARTA,생명공학 연구개발 및 제조업,의결권의 과반수소유(회계기준서 1110호),-,779
20260318,1101110015639,BATAVIA BIOMANUFACTURING B.V.,202211,Zernikedreef 16 2333 CL Leiden Netherlands,생명공학 연구개발 및 제조업,의결권의 과반수소유(회계기준서 1110호),해당,205816
20260318,1101110015639,CJ FOODS PHILIPPINES CORP.,202303,Unit 1716 High Street South Corporate Plaza Tower 2 26th Street Corner 9th Avenue Fort Bonifacio Taguig City Philippines 1630,식품판매유통업,의결권의 과반수소유(회계기준서 1110호),-,11330
20260318,1101110015639,SCHWAN’S COSMOS FOOD LLC,202310,16015 Phoenix Dr. City of Industry CA 91745,식료품제조업,의결권의 과반수소유(회계기준서 1110호),-,0
20260318,1101110015639,CJ FOODS MALAYSIA SDN. BHD,202402,NO.2JALAN PJU 1A/7AARA DAMANSARA OASIS OFFICECAPITAL3UNIT C-05-01,식품판매유통업,의결권의 과반수소유(회계기준서 1110호),-,5604
20260318,1101110015639,CJ FOODS HUNGARY KFT,202402,1112 Budapest gulyas utca 24/1,식료품 제조업,의결권의 과반수소유(회계기준서 1110호),해당,81392
20260318,1101110015639,CJ FOODS FRANCE SAS,202403,73 Rue de Vaugirard 75006 Paris France,식품판매유통업,의결권의 과반수소유(회계기준서 1110호),-,1844
20260318,1101110015639,PT. CJ FOODVILLE BAKERY AND CAFE INDONESIA,201703,Menara Jamsostek 21st Floor Jl. Jend. Gatot Subroto Kav.38 Jakarta 12710 Indonesia,식품제조업 및 외식사업,의결권의 과반수소유(회계기준서 1110호),-,30568
20260318,1101110015639,TLJ AMERICA LLC,202310,1895 fulenwider roadSW Gainesville GA 30507,식품제조업,의결권의 과반수소유(회계기준서 1110호),해당,82621
20260318,1101110015639,CJ SMART CARGO HONG KONG LIMITED,201803,Unit 3203-4 No69 Jervois St Sheung Wan HongKong,물류업,의결권의 과반수소유(회계기준서 1110호),-,10842
20260318,1101110015639,CJ TRANSNATIONAL PHILIPPINES INC.,201705,8th  Floor  iMet BPO Metrobank Avenue Met Park Barangay 26 Pasay City 1300 Philippines,물류업,의결권의 과반수소유(회계기준서 1110호),-,4573
20260318,1101110015639,CJ ICM FZCO,199602,Plot No MO 0425 PO Box 61280 Jebel Ali Dubai UAE,물류업,의결권의 과반수소유(회계기준서 1110호),해당,89059
20260318,1101110015639,L M T CONTAINER SHIPPING L.L.C.,199804,Office #701 Executive Heights Damac Bldg TECOM Area Dubai UAE,물류업,의결권의 과반수소유(회계기준서 1110호),-,4387
20260318,1101110015639,CJ ICM SERVICES DWC LLC,201510,Office 305 Building E Business Park Dubai World Central PO Box 61280 Dubai UAE,물류업,의결권의 과반수소유(회계기준서 1110호),해당,97151
20260318,1101110015639,CJ ICM (UK) LTD,201506,22-24 Red Lion Court Fleet Street London EC4A 3EB UK,물류업,의결권의 과반수소유(회계기준서 1110호),-,1947
20260318,1101110015639,CJ ICM TASHKENT MCHJ,201506,Bld. 4 1-st Proezd Nukus str. 100060 Tashkent Uzbekistan,물류업,의결권의 과반수소유(회계기준서 1110호),-,1048
20260318,1101110015639,IBRAKOM LOGISTICS SERVICES LTD. STI,201201,Ruzgarli Bahce Mah. Acarlar Is Merkezi F Block Kat:2 Kavacik Beykoz Istanbul Turkey,물류업,의결권의 과반수소유(회계기준서 1110호),-,2550
20260318,1101110015639,AKALTIN LOGISTICS CENTER MCHJ QK,201608,Yoshlik Kurgoni Saikhunabad District Syrdarya Region Uzbekistan,물류업,의결권의 과반수소유(회계기준서 1110호),-,523
20260318,1101110015639,CABA &amp; MISNAK,198711,Ruzgarli Bahce Mah. Acarlar Is Merkezi F Block Kat:3/7 Kavacik Beykoz Istanbul Turkey,물류업,의결권의 과반수소유(회계기준서 1110호),-,25316
20260318,1101110015639,CJ ICM ITALIA S.R.L,201605,Via di Campo Marzio 14 34123 Trieste Italy,물류업,의결권의 과반수소유(회계기준서 1110호),-,7313
20260318,1101110015639,CJ ICM LOGISTICS,200409,31 Zhangeldin Str. office 200 Almaty Kazakhstan,물류업,의결권의 과반수소유(회계기준서 1110호),-,2751
20260318,1101110015639,CJ ICM LOGISTICS LLC,201211,Ibrakom Logistics Services Ltd 34 Chavchavadze Ave Pixel Center 4 floor 0179 Tbilisi Georgia,물류업,의결권의 과반수소유(회계기준서 1110호),-,1077
20260318,1101110015639,CJ ICM LOGISTICS GMBH,201504,Hammerbrookstr. 90 20097 Hamburg Germany,물류업,의결권의 과반수소유(회계기준서 1110호),-,9823
20260318,1101110015639,MISNAK TURKMENISTAN HOJALYK,201401,432105 (h.A.Yasavy) st Asgabat Turkmenistan,물류업,의결권의 과반수소유(회계기준서 1110호),-,625
20260318,1101110015639,CJ DARCL LOGISTICS LIMITED,198612,Darcl House Plot No. 55 P Sector 44 Gurugram Haryana India,물류업,의결권의 과반수소유(회계기준서 1110호),해당,363868
20260318,1101110015639,TRANSRAIL LOGISTICS LIMITED,200806,Darcl House Plot No. 55 P Sector 44 Gurugram Haryana India,물류업,의결권의 과반수소유(회계기준서 1110호),-,8493
20260318,1101110015639,DARCL LOGISTICS NEPAL PRIVATE LIMITED,201302,Ward No. 22 Tahagalli Sundhara Kathmandu Nepal,물류업,의결권의 과반수소유(회계기준서 1110호),-,12
20260318,1101110015639,CJ KOREA EXPRESS SHENYANG CO.LTD.,201611,No.38-45 Yunong Road Beixin Distcict Liaoning Province Shenyang China,물류업,의결권의 과반수소유(회계기준서 1110호),-,39157
20260318,1101110015639,CJ LOGISTICS WAREHOUSE(SHANGHAI) CO.LTD.,201506,6 buildings 1518-1 Si Yi Road Shanghai Jiading District Shanghai China,물류업,의결권의 과반수소유(회계기준서 1110호),-,46060
20260318,1101110015639,CJ SPEEDEX(HONGKONG) LOGISTICS CO.LTD,201801,Unit A 18th Floor Public Bank Centre NO.120 Des Voeux Road Central Hongkong,물류업,의결권의 과반수소유(회계기준서 1110호),-,961
20260318,1101110015639,CJ LOGISTICS HONG KONG HOLDINGS LIMITED,201711,Rm 903 88 Gloucester Road Wan Chai Hong Kong,물류업,의결권의 과반수소유(회계기준서 1110호),해당,135221
20260318,1101110015639,CJ GEMADEPT LOGISTICS HOLDINGS COMPANY LIMITED,201707,06 Le Thanh Ton Ben Nghe Ward District 1 Ho Chi Minh City Vietnam,물류업,의결권의 과반수소유(회계기준서 1110호),-,16740
20260318,1101110015639,CJ GEMADEPT SHIPPING HOLDINGS COMPANY LIMITED,201707,06 Le Thanh Ton Ben Nghe Ward District 1 Ho Chi Minh City Vietnam,물류업,실질지배력보유(회계기준서 1110호),-,11933
20260318,1101110015639,GEMADEPT LOGISTICS ONE MEMBER COMPANY LIMITED,200803,Lot J1 Road No. 8 Song Than 1 Industrial Park Di An Ward Di An Town Binh Duong Province Vietnam,물류업,의결권의 과반수소유(회계기준서 1110호),해당,78372
20260318,1101110015639,GEMADEPT HAI PHONG ONE MEMBER COMPANY LIMITED,200708,6th Floor Lot 20A TD Plaza Business Center Building Le Hong Phong Street Dong Khe Ward Ngo Quyen District Hai Phong City Vietnam,물류업,의결권의 과반수소유(회계기준서 1110호),-,1223
20260318,1101110015639,GEMADEPT SHIPPING LIMITED COMPANY,201707,06 Le Thanh Ton Ben Nghe Ward District 1 Ho Chi Minh City Vietnam,물류업,의결권의 과반수소유(회계기준서 1110호),-,25812
20260318,1101110015639,GEMADEPT SHIPPING SINGAPORE PTE. LTD.,201708,63 Market Street #05-01A Bank of Singapore Centre Singapore 048942 Singapore,물류업,의결권의 과반수소유(회계기준서 1110호),-,8554
20260318,1101110015639,GEMADEPT (MALAYSIA) SDN. BHD.,200405,No.68B Jalan Batai Laut 4 Taman Intan 41300 Klang Selangor Darul Ehsan Malaysia,물류업,의결권의 과반수소유(회계기준서 1110호),-,1719
20260318,1101110015639,MEKONG LOGISTICS COMPANY,201506,Song Hau Industrial Park Stage 1 Dong Phu Commune Chau Thanh District Hau Giang Province Vietnam,물류업,의결권의 과반수소유(회계기준서 1110호),-,24989
20260318,1101110015639,CJ LOGISTICS TRANSPORTATION LLC,201805,18805 S LAUREL PARK RD RANCHO DOMINGUEZ CA 90220 USA,운송업,의결권의 과반수소유(회계기준서 1110호),-,35981
20260318,1101110015639,CJ SPEEDEX LOGISTICS CHENGDU CO.LTD,201804,Room 1319 A dist. Railway port building No. 1509 Chengxiang City Xiangdao Road Qingbaijiang Dist Sichuan pilot free trade zone Chengdu City China,운송업,의결권의 과반수소유(회계기준서 1110호),-,7032
20260318,1101110015639,CJ LOGISTICS AMERICA LLC,196007,1750 South Wolf Road Des Plaines IL 60018 USA,물류업,의결권의 과반수소유(회계기준서 1110호),해당,1035635
20260318,1101110015639,CJ LOGISTICS FREIGHT AMERICA LLC,198112,1750 South Wolf Road Des Plaines IL 60018 USA,물류업,의결권의 과반수소유(회계기준서 1110호),-,0
20260318,1101110015639,CJ SMART CARGO NEPAL PVT.LTD.,201807,Naxal Narayan Chaur Kathmandu Nepal,물류업,의결권의 과반수소유(회계기준서 1110호),-,1
20260318,1101110015639,CJ ICM AUSTRIA GMBH,201806,Wagramer Straße 4 Top Nr. ZW61-01-08 1220 Wien Austria,물류업,의결권의 과반수소유(회계기준서 1110호),-,2
20260318,1101110015639,JL HOLDINGS (THAILAND) CO. LTD.,201804,12/1 Moo 13 Bangplee Yai Bang Phli Samutprakarn Thailand,물류업,의결권의 과반수소유(회계기준서 1110호),-,64341
20260318,1101110015639,JL TRANSPORT (THAILAND) CO. LTD.,201804,76/57 Moo 10 Thung Sukhla Siracha Chon Buri Thailand,물류업,의결권의 과반수소유(회계기준서 1110호),-,64331
20260318,1101110015639,CJ SMART CARGO KENYA LIMITED,201811,FCB MIHRAB，Kilimani Ring Road and Lenana Road，P.O.Box 14267-00100 Nairobi Kenya Kenya,물류업,의결권의 과반수소유(회계기준서 1110호),-,123
20260318,1101110015639,CJ SMART CARGO UGANDA-SMC LIMITED,201801,26BUGANDA ROADPARK ROYAL BUILDING LEVEL 3KAMPALA CENTRAL DIVISION Uganda,물류업,의결권의 과반수소유(회계기준서 1110호),-,183
20260318,1101110015639,CJ SMART CARGO ZAMBIA LIMITED,201801,186，lusaka3rd street mwambula roadlusakalusaka ProvinceZambia,물류업,의결권의 과반수소유(회계기준서 1110호),-,7201
20260318,1101110015639,CJ SPEEDEX LOGISTICS DEQING CO.LTD,201901,General Aviation Industrial Park Leidian Town Deqing County Huzhou City Zhejiang Province China,일반창고업,의결권의 과반수소유(회계기준서 1110호),-,441
20260318,1101110015639,CJ SPEEDEX(NINGBO) SUPPLY CHAIN MANAGEMENT SERVICE CO.LTD,202312,Room 3206 Office Building 18 Meishan Avenue Business Center Beilun District Ningbo City Zhejiang Province China,물류업,의결권의 과반수소유(회계기준서 1110호),-,0
20260318,1101110015639,CJ JWD LOGISTICS(THAILAND) CO. LTD.,201901,No.598Q House Ploenchit Building 16th Floor Ploen Chit Road Lumpini Sub-district Pathumwan District Bangkok Metropolis Thailand,도로 화물 운송업,의결권의 과반수소유(회계기준서 1110호),-,1222
20260318,1101110015639,CJ ICM LOGISTICS SERVICES LTD.,201904,RUZGARLIBAHCE MAHALLESI BOZKURT SK.NO:3/8 BEYKOZ ISTANBUL TURKEY,도로 화물 운송업,의결권의 과반수소유(회계기준서 1110호),-,17417
20260318,1101110015639,SUNTRON INVESTMENTS LIMITED,201805,3rd floor sea view plaza kizingo Kenya,기타운송서비스업,의결권의 과반수소유(회계기준서 1110호),-,3
20260318,1101110015639,CJ ICM LOGISTICS ESPANA SL,201908,CL ROCAFORT 133 BARCELONA08015 SPAIN,물류업,의결권의 과반수소유(회계기준서 1110호),-,17960
20260318,1101110015639,TAD RAYA OFFSHORE SDN. BHD.,201410,No.91 Jalan SS 15/4C 47500 Subang Jaya Selangor Darul Ehsan Malaysia,운수 창고업,의결권의 과반수소유(회계기준서 1110호),-,354
20260318,1101110015639,CJ ICM LOGISTICS LDA,201912,Av. Albert Luthuli N 15 2 Andar Porta 9 Maputo Mozambique,물류업,의결권의 과반수소유(회계기준서 1110호),-,5072
20260318,1101110015639,EXPEDITE LOGISTICS LIMITED,201208,HAZINA BUILDING UTALILANE NAIROBI NORTH KENYA,통관업,의결권의 과반수소유(회계기준서 1110호),-,115
20260318,1101110015639,PT SINO CARGO INDONESIA,202107,RUKAN KIRANA BOUTIQUE OFFICEJL BOULEVARD RAYA KAV I BLOK.E1 NO.2,물류업,의결권의 과반수소유(회계기준서 1110호),-,3688
20260318,1101110015639,CJ LOGISTICS SILZ LLC,202402,Special Integrated Logistics Zone Building 8791 105th Street Riyadh 13442 Kingdom of Saudi Arabia,물류업,의결권의 과반수소유(회계기준서 1110호),-,51540
20260318,1101110015639,KORUS LOGISTICS INFRA LLC,202403,1750 S. Wolf Road Des Plaines IL 60018,물류업,의결권의 과반수소유(회계기준서 1110호),해당,189390
20260318,1101110015639,KORUS LOGISTICS INFRA EW LLC,202403,1750 S. Wolf Road Des Plaines IL 60018,물류업,의결권의 과반수소유(회계기준서 1110호),해당,134350
20260318,1101110015639,KORUS LOGISTICS INFRA SC LLC,202401,1750 S. Wolf Road Des Plaines IL United States 60018,물류업,의결권의 과반수소유(회계기준서 1110호),-,52675
20260318,1101110015639,CJ ICM LOGISTICS BELGIUM B.V.,202405,Noorderlaan 147 box 14 2030 Antwerpen,물류업,의결권의 과반수소유(회계기준서 1110호),-,12197
